ID	IPA	simp	trad	detail	piŋyiŋ	调类
	tsɿ⁵³	知	知			tsɿ1
	tsɿ⁵³	蜘	蜘			tsɿ1
	tsɿ⁵³	蜘	䵹			tsɿ1
	tsɿ⁵³	蜘	鼅			tsɿ1
	tsɿ⁵³	支	支			tsɿ1
	tsɿ⁵³	枝	枝			tsɿ1
	tsɿ⁵³	肢	肢			tsɿ1
	tsɿ⁵³	栀	梔			tsɿ1
	tsɿ⁵³	资	資			tsɿ1
	tsɿ⁵³	姿	姿			tsɿ1
	tsɿ⁵³	咨	諮			tsɿ1
	tsɿ⁵³	咨	咨			tsɿ1
	tsɿ⁵³	脂	脂			tsɿ1
	tsɿ⁵³	滋	滋			tsɿ1
	tsɿ⁵³	辎	輜			tsɿ1
	tsɿ⁵³	之	之			tsɿ1
	tsɿ⁵³	芝	芝			tsɿ1
	tsɿ⁴⁵	紫	紫			tsɿ3
	tsɿ⁴⁵	纸	紙			tsɿ3
	tsɿ⁴⁵	只	只	《詩經》母也天～		tsɿ3
	tsɿ⁴⁵	只	祇	《詩經》～攪我心		tsɿ3
	tsɿ⁴⁵	只	衹			tsɿ3
	tsəʔ⁵⁵	只	衹	（口）～有，～好		tsəʔ7
	tsɿ⁴⁵	姊	姊	～妹		tsɿ3
	tsi⁴⁵	姊	姊	（口）阿～		tsi3
	tsi⁴⁵	姐	姐	（口）阿～		tsi3
	tsɿ⁴⁵	指	指			tsɿ3
	tsɿ⁴⁵	子	子			tsɿ3
	tsəʔ⁵⁵	子	子	兒～，餃～		tsəʔ7
	tsɿ⁴⁵	仔	仔	～細，牛～褲		tsɿ3
	tsɿ⁴⁵	制	制	～度		tsɿ3
	tsɿ⁴⁵	制	製	～造		tsɿ3
	tsɿ⁴⁵	止	止			tsɿ3
	tsɿ⁴⁵	芷	芷			tsɿ3
	tsɿ⁴⁵	沚	沚			tsɿ3
	tsɿ⁴⁵	趾	趾			tsɿ3
	tsɿ⁴⁵	址	址			tsɿ3
	tsʰɿ⁴²³	翅	翅			tsʰɿ5
	tsɿ⁴²³	致	致	導～		tsɿ5
	tsɿ⁴²³	致	緻	標～，精～		tsɿ5
	tsɿ⁴²³	质	質	人～		tsɿ5
	tsɿ⁴²³	至	至			tsɿ5
	tsɿ⁴²³	志	志	～願		tsɿ5
	tsɿ⁴²³	志	誌	標～，雜～		tsɿ5
	tsɿ⁴²³	痣	痣			tsɿ5
	tsɿ⁴²³	智	智			tsɿ5
	tsɿ⁴²³	识	識	標～		tsɿ5
	tsɿ⁴²³	置	置			tsɿ5
