id	ini	fn	pt	单字	IPA	注释
1	t	ɔ	52	多	tɔ52	多少
2	tʰ	ɔ	52	拖	tʰɔ52	拖拉机
3	tʰ	a	52	他	tʰa52	其他
4	tʰ	ɔ	21	駝	tʰɔ21	骆驼
5	tʰ	ɔ	21	舵	tʰɔ21	舵手
6	t	ai	22	大	tai22	大夫、大黄
7	l	a	13	哪	la13	哪里；哪吒
8	l	a	13	那	la13	那里；那霍（地名）
9	l	ɔ	21	羅	lɔ21	姓
10	l	ɔ	21	鑼	lɔ21	锣鼓
11	l	ɔ	21	蘿	lɔ21	萝卜
12	l	ɔ	21	籮	lɔ21	箩筐
13	tʃ	ɔ	35	左	tʃɔ35	左右
14	tʃ	ɔ	35	佐	tʃɔ35	辅佐
15	tʃ	ai	52	搓	tʃai52	搓手
16	k	ɔ	52	歌	kɔ52	唱歌
17	k	ɔ	52	哥	kɔ52	哥哥
18	k	ɔ	33	個	kɔ33	一个
19	h	ɔ	35	可	hɔ35	可以
20	ŋ	ɔ	21	蛾	ŋɔ21	飞蛾
21	ŋ	ɔ	21	鵝	ŋɔ21	天鹅
22	ŋ	ɔ	21	俄	ŋɔ21	俄国
23	ŋ	ɔ	13	我	ŋɔ13	我们
24	ŋ	ɔ	22	餓	ŋɔ22	肚子饿
25	h	ɔ	21	荷	hɔ21	薄荷
26	h	ɔ	21	河	hɔ21	黄河
27	h	ɔ	21	何	hɔ21	姓何
28	h	ɔ	21	荷	hɔ21	荷花
29	h	ɔ	22	賀	hɔ22	祝贺
30		ɔ	52	阿	ɔ52	阿哥
31		ɔ	52	阿	ɔ52	阿胶；阿弥陀佛
32	kʰ	ɛ	21	茄	kʰɛ21	番茄
33	p	ɔ	52	波	pɔ52	风波
34	p	ɔ	52	菠	pɔ52	菠菜
35	p	ai	52	跛	pai52	跛足
36	p	ui	33	簸	pui33	簸箕
37	p	ɔ	33	播	pɔ33	播种
38	p	ɔ	52	坡	pɔ52	山坡
39	p	ɔ	52	玻	pɔ52	玻璃
40	pʰ	ɔ	33	破	pʰɔ33	破坏
41	pʰ	ɔ	21	婆	pʰɔ21	外婆
42	p	œk	022	薄	pœk2	薄荷
43	m	ɔ	52	魔	mɔ52	魔术
44	m	ɔ	21	磨	mɔ21	磨刀（动）
45	m	ɔ	52	摩	mɔ52	摩擦
46	m	ɔ	21	磨	mɔ21	石磨（名）
47	t	œ	35	朵	tœ35	一朵花
48	t	œ	35	躲	tœ35	躲避
49	t	œk	033	剁	tœk3	剁猪肉
50	tʰ	ɔ	13	妥	tʰɔ13	妥当
51	tʃʰ	ui	22	唾	tʃʰui22	唾液
52	l	ɔ	22	糯	lɔ22	糯米
53	l	ɔ	21	螺	lɔ21	田螺
54	l	ɔ	21	腡	lɔ21	手指纹
55	l	ɔ	52	囉	lɔ52	啰嗦
56	tʃʰ	ɔ	33	銼	tʃʰɔ33	锉刀
57	tʃʰ	ɔ	13	坐	tʃʰɔ13	请坐
58	tʃ	ɔ	22	座	tʃɔ22	座位
60	ʃ	ɔ	52	梭	ʃɔ52	织布梭
61	ʃ	ɔ	52	唆	ʃɔ52	唆使
62	ʃ	ɔ	35	鎖	ʃɔ35	门锁
63	ʃ	ɔ	35	瑣	ʃɔ35	琐碎
64		uok	022	鍋	uok2	砂锅；锅铲
65	kʰ	uɔ	52	戈	kʰuɔ52	大动干戈
66	k	uɔ	35	果	kuɔ35	水果
67	k	uɔ	35	裹	kuɔ35	包裹
68	k	uɔ	33	過	kuɔ33	过去
69	kʰ	uɔ	52	科	kʰuɔ52	文科
70	kʰ	uɔ	52	棵	kʰuɔ52	一棵
71	kʰ	uɔ	52	顆	kʰuɔ52	颗粒
72	kʰ	uɔ	33	課	kʰuɔ33	上课
73	ŋ	ɔ	21	訛	ŋɔ21	讹诈
74	ŋ	ɔ	22	臥	ŋɔ22	卧室
75	f	ɔ	35	火	fɔ35	火车
76	f	ɔ	35	伙	fɔ35	伙食
77	f	ɔ	35	夥	fɔ35	伙计，合伙
78	f	ɔ	33	貨	fɔ33	货物
79		uɔ	21	和	uɔ21	和气
80		uɔ	21	禾	uɔ21	禾苗
81		uɔ	35	禍	uɔ35	祸害
82		uɔ	21	和	uɔ21	和诗，唱和
83		uɔ	52	倭	uɔ52	倭寇
84		uɔ	52	窩	uɔ52	鸟窝
85		uɔ	52	萵	uɔ52	莴笋
86	kʰ	œ	52	靴	kʰœ52	靴子
87	p	a	52	巴	pa52	巴掌
88	p	a	52	芭	pa52	芭蕉
89	p	a	52	疤	pa52	伤疤
90	p	a	35	把	pa35	把柄
91	p	a	33	霸	pa33	霸王
92	p	a	35	把	pa35	把握、一把
93	p	a	33	壩	pa33	堤坝
94	p	a	52	爸	pa52	爸爸
95	pʰ	a	33	怕	pʰa33	害怕
96	pʰ	a	21	爬	pʰa21	爬树
97	pʰ	a	21	琶	pʰa21	琵琶
98	pʰ	a	21	杷	pʰa21	枇杷
99	pʰ	a	21	耙	pʰa21	犁耙
100	m	a	21	麻	ma21	麻袋
101	m	a	21	痲	ma21	麻疹
102	m	œk	033	蟆	mœk3	蛤蟆
103	m	a	55	媽	ma55	妈妈
104	m	a	13	馬	ma13	骑马
105	m	a	13	碼	ma13	码头
106	m	a	33	罵	ma33	骂人
107	n	a	35	拿	na35	拿手；推拿
108	tʃʰ	a	21	茶	tʃʰa21	茶叶
109	tʃʰ	a	21	搽	tʃʰa21	搽药
110	tʃ	a	52	楂	tʃa52	山楂
111	tʃ	a	52	渣	tʃa52	药渣
112	tʃ	a	33	詐	tʃa33	诈骗
113	tʃ	a	33	榨	tʃa33	榨油
114	tʃ	a	33	炸	tʃa33	炸弹
115	tʃʰ	a	52	叉	tʃʰa52	叉腰
116	tʃʰ	a	52	杈	tʃʰa52	枝杈
117	tʃʰ	a	52	差	tʃʰa52	差别
118	tʃʰ	a	52	岔	tʃʰa52	三岔路口
119	tʃʰ	a	21	查	tʃʰa21	调查
120	ʃ	a	52	沙	ʃa52	沙漠
121	ʃ	a	52	紗	ʃa52	纱布
122	ʃ	a	52	砂	ʃa52	朱砂；砂纸
123	ʃ	a	52	痧	ʃa52	刮痧；斑痧
124	ʃ	a	35	灑	ʃa35	洒水
125	k	a	52	家	ka52	成家，老家
126	k	a	52	加	ka52	加工
127	k	a	52	痂	ka52	结痂
128	k	a	52	嘉	ka52	嘉宾
129	k	a	52	傢	ka52	家具
130	k	a	35	假	ka35	真假
131	k	a	35	賈	ka35	姓，贾宝玉
132	k	a	35	假	ka35	放假
133	k	a	33	架	ka33	衣架
134	k	a	33	駕	ka33	驾驶
135	k	a	33	嫁	ka33	出嫁
136	k	a	33	價	ka33	价钱
137	ŋ	a	21	牙	ŋa21	牙齿
138	ŋ	a	21	芽	ŋa21	豆芽
139	ŋ	a	21	衙	ŋa21	衙门
140	ŋ	a	21	蚜	ŋa21	蚜虫（生在豆类、棉花、稻等幼苗上）
141	ŋ	a	13	雅	ŋa13	典雅
142	h	a	52	蝦	ha52	虾蟆（蛤蟆）
143	h	a	52	□	ha52	虾腰
144	h	ɛk	033	嚇	hɛk3	恐吓
145	h	a	21	霞	ha21	朝霞
146	h	a	21	瑕	ha21	瑕疵
147	h	a	52	蝦	ha52	鱼虾
148	h	a	22	下	ha22	下降
149	h	a	22	夏	ha22	春夏
150	h	a	22	厦	ha22	高楼大厦，商厦
151	h	a	22	下	ha22	下面
152	h	a	22	夏	ha22	姓夏
153	h	a	21	暇	ha21	目不暇接，闲暇
154		a	52	鴉	a52	乌鸦
155		a	52	丫	a52	丫头
156		a	52	椏	a52	桠杈
157		a	35	啞	a35	哑巴
158		a	33	亞	a33	亚洲
159	tʃ	ɛ	55	姐	tʃɛ55	姐姐
159	t	ai	55	姐	tai55	姐姐
160	tʃ	ɛ	33	借	tʃɛ33	借钱
161	ʃ	ɛ	35	且	ʃɛ35	而且
162	tʃ	iə̯k	022	藉	tʃiə̯k2	藉故，藉口
163	ʃ	ɛ	52	些	ʃɛ52	一些
164	ʃ	ɛ	35	寫	ʃɛ35	写字
165	ʃ	ɛ	33	瀉	ʃɛ33	腹泻
166	ʃ	ɛ	33	卸	ʃɛ33	卸货
167	tʃʰ	ɛ	21	邪	tʃʰɛ21	邪气
168	tʃʰ	ɛ	21	斜	tʃʰɛ21	斜线
169	tʃ	ɛ	22	謝	tʃɛ22	谢谢；姓
170	t	ɛ	52	爹	tɛ52	爹娘
171	tʃ	ɛ	52	遮	tʃɛ52	遮挡
172	tʃ	ɛ	35	者	tʃɛ35	记者
173	tʃ	ɛ	33	蔗	tʃɛ33	甘蔗
174	tʃʰ	ɛ	52	車	tʃʰɛ52	火车
175	tʃʰ	ɛ	35	扯	tʃʰɛ35	拉扯
176	ʃ	ɛ	21	蛇	ʃɛ21	毒蛇
177	ʃ	ɛ	22	射	ʃɛ22	发射
178	ʃ	ɛ	22	麝	ʃɛ22	麝香
179	tʃʰ	ɛ	52	奢	tʃʰɛ52	奢侈
180	tʃʰ	ɛ	52	賒	tʃʰɛ52	赊帐
181	ʃ	ɛ	35	捨	ʃɛ35	舍得，舍弃
182	ʃ	ɛ	33	赦	ʃɛ33	赦免
183	ʃ	ɛ	33	舍	ʃɛ33	宿舍
184	ʃ	ɛ	22	佘	ʃɛ22	佘太君
185	ʃ	ɛ	13	社	ʃɛ13	公社
186		iɛ	35	惹	iɛ35	招惹
187		iɛ	21	耶	iɛ21	耶酥
188		iɛ	21	爺	iɛ21	爷爷
189		iɛ	21	椰	iɛ21	椰子
190		ia	13	也	ia13	也是
191		iɛ	13	野	iɛ13	野兔
192		iɛ	22	夜	iɛ22	夜晚
193	ʃ	ɔ	22	傻	ʃɔ22	傻瓜
194	ʃ	a	33	耍	ʃa33	玩耍
195	k	ua	52	瓜	kua52	西瓜
196		uɔ	52	蝸	uɔ52	蜗牛
197	k	ua	35	寡	kua35	寡妇
198	k	ua	35	剮	kua35	千刀万剐
199	kʰ	ua	52	誇	kʰua52	夸奖；夸张
200	kʰ	ua	52	垮	kʰua52	垮台
201	kʰ	ua	52	跨	kʰua52	跨度
202	ŋ	a	13	瓦	ŋa13	瓦片
203	f	a	52	花	fa52	开花
204	f	a	33	化	fa33	变化
205		ua	21	華	ua21	华山
206		uɛk	022	劃	uɛk2	划船
207		ua	21	華	ua21	中华
208		ua	52	蛙	ua52	青蛙
209		ua	52	窪	ua52	低洼
210	p	u	35	補	pu35	补衣服
211	pʰ	u	35	譜	pʰu35	族谱
212	p	u	33	布	pu33	布匹，一块布
213	p	u	33	佈	pu33	布置；公布
214	pʰ	u	52	鋪	pʰu52	铺设
215	pʰ	u	35	普	pʰu35	普通
216	pʰ	u	35	浦	pʰu35	浦江
217	pʰ	u	33	鋪	pʰu33	店铺
218	p	u	33	怖	pu33	恐怖
219	pʰ	u	35	蒲	pʰu35	蒲团
220	p	u	21	菩	pu21	菩萨
221	p	u	52	脯	pu52	胸脯
222	pʰ	u	21	葡	pʰu21	葡萄
223	p	u	22	部	pu22	部队
224	p	u	22	簿	pu22	帐簿
225	p	u	22	步	pu22	跑步
226	pʰ	u	22	捕	pʰu22	捕捉；捕快
227	f	au	22	埠	fau22	埠头
228	m	u	21	模	mu21	模范
229	m	u	21	模	mu21	模型
230	m	u	21	摹	mu21	摹仿
231	m	u	33	墓	mu33	坟墓
232	m	u	33	暮	mu33	日暮
233	m	u	33	慕	mu33	羡慕
234	m	u	33	募	mu33	募捐
235	t	ɐu	52	都	tɐu52	都是
236	t	ɐu	52	都	tɐu52	首都
237	t	ɔy	35	堵	tɔy35	堵车
238	t	ɐu	35	賭	tɐu35	赌博
239	tʰ	ɐu	13	肚	tʰɐu13	猪肚（胃），鱼肚
240	t	ɐu	22	妒	tɐu22	妒忌
241	tʰ	ɐu	35	土	tʰɐu35	土地
242	tʰ	ɐu	33	吐	tʰɐu33	呕吐
243	tʰ	ɐu	33	吐	tʰɐu33	吐痰
244	tʰ	ɐu	33	兔	tʰɐu33	兔子
245	tʰ	ɐu	21	徒	tʰɐu21	徒弟
246	tʰ	ɐu	21	屠	tʰɐu21	屠杀
247	tʰ	ɐu	21	途	tʰɐu21	前途
248	tʰ	ɐu	21	塗	tʰɐu21	泥涂，涂改
249	tʰ	ɐu	21	圖	tʰɐu21	地图
250	t	ɐu	22	杜	tɐu22	杜仲；姓
251	tʰ	ɐu	13	肚	tʰɐu13	肚子，肚脐
252	t	œk	022	度	tœk2	忖度，度长
253	t	ɐu	22	渡	tɐu22	偷渡
254	t	ɐu	22	鍍	tɐu22	电镀
255	n	ɐu	21	奴	nɐu21	奴隶
256	n	ɐu	13	努	nɐu13	努力
257	n	ɐu	52	怒	nɐu52	发怒
258	l	ɐu	21	盧	lɐu21	姓卢
259	l	ɐu	21	爐	lɐu21	炉子
260	l	ɐu	21	蘆	lɐu21	芦苇
261	l	ɐu	13	魯	lɐu13	鲁迅
262	l	ɐu	13	櫓	lɐu13	摇船的工具
263	l	o	13	虜	lo13	俘虏
264	l	ɐu	13	滷	lɐu13	卤水
265	l	ɐu	22	路	lɐu22	马路
266	l	ɐu	22	賂	lɐu22	贿赂
267	l	ɐu	22	露	lɐu22	露水
268	l	ɐu	22	鷺	lɐu22	白鹭
269	tʃ	ɐu	52	租	tʃɐu52	房租
270	tʃ	ɐu	35	祖	tʃɐu35	祖国
271	tʃ	ɐu	35	組	tʃɐu35	组长
272	tʃ	ɐu	33	做	tʃɐu33	做饭
273	tʃʰ	ɐu	52	粗	tʃʰɐu52	粗心
274	tʃʰ	ɐu	33	醋	tʃʰɐu33	吃醋
275	tʃʰ	ɐu	33	措	tʃʰɐu33	措施
276	tʃʰ	ɔ	33	錯	tʃʰɔ33	错误
277	ʃ	ɐu	52	蘇	ʃɐu52	苏州
278	ʃ	ɐu	52	酥	ʃɐu52	酥油，酥饼
279	ʃ	ɐu	33	素	ʃɐu33	吃素；朴素
280	ʃ	ɐu	33	訴	ʃɐu33	告诉
281	ʃ	œk	033	塑	ʃœk3	塑像
282	k	u	52	姑	ku52	姑娘
283	k	u	52	孤	ku52	孤独
284	kʰ	u	52	箍	kʰu52	紧箍咒
285	k	u	52	辜	ku52	无辜，辜负
286	k	u	35	古	ku35	古代
287	k	u	35	估	ku35	估计
288	k	u	35	牯	ku35	牛牯
289	k	u	35	股	ku35	股票
290	k	u	35	鼓	ku35	鼓励
291	k	u	35	蠱	ku35	蛊惑；整蛊
292	k	u	33	故	ku33	故事
293	k	u	33	固	ku33	固定
294	k	u	33	雇	ku33	雇主
295	k	u	33	顧	ku33	照顾
296	k	u	52	枯	ku52	枯萎
297	f	u	35	苦	fu35	吃苦
298	f	u	33	庫	fu33	水库
299	f	u	33	褲	fu33	裤子
300		m̩	21	吴	m̩21	姓
301		m̩	21	蜈	m̩21	蜈蚣
302		m̩	21	梧	m̩21	梧桐
303		m̩	13	五	m̩13	第五
304		m̩	13	伍	m̩13	队伍
305		m̩	13	午	m̩13	中午
306		m̩	22	誤	m̩22	错误
307		m̩	22	悟	m̩22	孙悟空
308	f	u	52	呼	fu52	呼吸
309	f	u	35	虎	fu35	老虎
