正體	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	备注
啊	ɑ	˨˦	ɑ˨˦	24	2	表疑惑
啊	ɑ	˨˩	ɑ˨˩	21	1	应答
阿	aʔ	˦˥	aʔ˦˥	45	7	～姨
噢	ɔ		ɔ	0	0	
携	ɕi	˨˦	ɕi˨˦	24	2	
腺	ɕĩ	˦˥	ɕĩ˦˥	45	5	
綫	ɕĩ	˦˥	ɕĩ˦˥	45	5	
線	ɕĩ	˦˥	ɕĩ˦˥	45	5	
憲	ɕĩ	˦˥	ɕĩ˦˥	45	5	
獻	ɕĩ	˦˥	ɕĩ˦˥	45	5	
弦	ɕĩ	˨˦	ɕĩ˨˦	24	2	
舷	ɕĩ	˨˦	ɕĩ˨˦	24	2	
絃	ɕĩ	˨˦	ɕĩ˨˦	24	2	
嫌	ɕĩ	˨˦	ɕĩ˨˦	24	2	
賢	ɕĩ	˨˦	ɕĩ˨˦	24	2	
仙	ɕĩ	˨˩	ɕĩ˨˩	21	1	
先	ɕĩ	˨˩	ɕĩ˨˩	21	1	
掀	ɕĩ	˨˩	ɕĩ˨˩	21	1	
鍁	ɕĩ	˨˩	ɕĩ˨˩	21	1	一種工具
鮮	ɕĩ	˨˩	ɕĩ˨˩	21	1	
纖	ɕĩ	˨˩	ɕĩ˨˩	21	1	
現	ɕĩ	˧	ɕĩ˧	33	6	
羨	ɕĩ	˧	ɕĩ˧	33	6	
縣	ɕĩ	˧	ɕĩ˧	33	6	
蜆	ɕĩ	˧˨˨	ɕĩ˧˨˨	322	3	
險	ɕĩ	˧˨˨	ɕĩ˧˨˨	322	3	
顯	ɕĩ	˧˨˨	ɕĩ˧˨˨	322	3	
廈	ɕiɑ	˧	ɕiɑ˧	33	6	～門
下	ɕiɑ	˧	ɕiɑ˧	33	6	文讀
夏	ɕiɑ	˧	ɕiɑ˧	33	6	文讀
寫	ɕiɑ	˧˨˨	ɕiɑ˧˨˨	322	3	
相	ɕiã	˦˥	ɕiã˦˥	45	5	
向	ɕiã	˦˥	ɕiã˦˥	45	5	方～
象	ɕiã	˦˥	ɕiã˦˥	45	5	文讀
曏	ɕiã	˦˥	ɕiã˦˥	45	5	
嚮	ɕiã	˦˥	ɕiã˦˥	45	5	
降	ɕiã	˨˦	ɕiã˨˦	24	2	
相	ɕiã	˨˩	ɕiã˨˩	21	1	
香	ɕiã	˨˩	ɕiã˨˩	21	1	
鄉	ɕiã	˨˩	ɕiã˨˩	21	1	
廂	ɕiã	˨˩	ɕiã˨˩	21	1	
湘	ɕiã	˨˩	ɕiã˨˩	21	1	
箱	ɕiã	˨˩	ɕiã˨˩	21	1	
鑲	ɕiã	˨˩	ɕiã˨˩	21	1	
寫	ɕiɑ	˦˥	ɕiɑ˦˥	45	5	～意
卸	ɕiɑ	˦˥	ɕiɑ˦˥	45	5	
瀉	ɕiɑ	˦˥	ɕiɑ˦˥	45	5	～肚子
遐	ɕiɑ	˨˦	ɕiɑ˨˦	24	2	文
瑕	ɕiɑ	˨˦	ɕiɑ˨˦	24	2	文
暇	ɕiɑ	˨˦	ɕiɑ˨˦	24	2	文
霞	ɕiɑ	˨˦	ɕiɑ˨˦	24	2	文讀
蝦	ɕiɑ	˨˩	ɕiɑ˨˩	21	1	文讀
些	ɕiɑ	˨˩	ɕiɑ˨˩	21	1	
向	ɕiã	˧	ɕiã˧	33	6	～南
項	ɕiã	˧	ɕiã˧	33	6	文讀
享	ɕiã	˧˨˨	ɕiã˧˨˨	322	3	
想	ɕiã	˧˨˨	ɕiã˧˨˨	322	3	
響	ɕiã	˧˨˨	ɕiã˧˨˨	322	3	
削	ɕiaʔ	˦˥	ɕiaʔ˦˥	45	7	
學	ɕiaʔ	˧	ɕiaʔ˧	33	8	
酵	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	文讀
孝	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	文讀
肖	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	～像
哮	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	文
笑	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	
嘯	ɕiɔ	˦˥	ɕiɔ˦˥	45	5	
淆	ɕiɔ	˨˦	ɕiɔ˨˦	24	2	
肴	ɕiɔ	˨˦	ɕiɔ˨˦	24	2	
餚	ɕiɔ	˨˦	ɕiɔ˨˦	24	2	
𣻏	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	同“澆”，表示薄
澆	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	薄
消	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
宵	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
梟	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
硝	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
銷	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
蕭	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
簫	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
囂	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
驍	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	
肖	ɕiɔ	˨˩	ɕiɔ˨˩	21	1	姓
校	ɕiɔ	˧	ɕiɔ˧	33	6	文讀，學～
效	ɕiɔ	˧	ɕiɔ˧	33	6	文
小	ɕiɔ	˧˨˨	ɕiɔ˧˨˨	322	3	
曉	ɕiɔ	˧˨˨	ɕiɔ˧˨˨	322	3	
雄	ɕiɔŋ	˨˦	ɕiɔŋ˨˦	24	2	文讀
熊	ɕiɔŋ	˨˦	ɕiɔŋ˨˦	24	2	
凶	ɕiɔŋ	˨˩	ɕiɔŋ˨˩	21	1	
兄	ɕiɔŋ	˨˩	ɕiɔŋ˨˩	21	1	
兇	ɕiɔŋ	˨˩	ɕiɔŋ˨˩	21	1	
胸	ɕiɔŋ	˨˩	ɕiɔŋ˨˩	21	1	
畜	ɕiɔʔ	˦˥	ɕiɔʔ˦˥	45	7	
蓄	ɕiɔʔ	˦˥	ɕiɔʔ˦˥	45	7	
夕	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	文
吸	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
析	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
息	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
悉	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
惜	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
晰	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
蜥	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
熄	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
膝	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	文讀
錫	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
蟋	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
媳	ɕiəʔ	˦˥	ɕiəʔ˦˥	45	7	
習	ɕiəʔ	˧	ɕiəʔ˧	33	8	文讀
懈	ɕiɛ	˦˥	ɕiɛ˦˥	45	5	文讀
諧	ɕiɛ	˨˦	ɕiɛ˨˦	24	2	文讀
閒	ɕiɛ̃	˨˦	ɕiɛ̃˨˦	24	2	文讀
嫻	ɕiɛ̃	˨˦	ɕiɛ̃˨˦	24	2	文讀
限	ɕiɛ̃	˧	ɕiɛ̃˧	33	6	文讀
俠	ɕiɛʔ	˧	ɕiɛʔ˧	33	8	文讀
峽	ɕiɛʔ	˧	ɕiɛʔ˧	33	8	文讀
細	ɕɨᶨ	˦˥	ɕɨᶨ˦˥	45	5	
戲	ɕɨᶨ	˦˥	ɕɨᶨ˦˥	45	5	
栖	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
西	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
希	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
稀	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
犀	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
嘻	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
嬉	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
譆	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
犧	ɕɨᶨ	˨˩	ɕɨᶨ˨˩	21	1	
繫	ɕɨᶨ	˧	ɕɨᶨ˧	33	6	
系	ɕɨᶨ	˧	ɕɨᶨ˧	33	6	
係	ɕɨᶨ	˧	ɕɨᶨ˧	33	6	
史	ɕɨᶨ	˧˨˨	ɕɨᶨ˧˨˨	322	3	姓避諱音
洗	ɕɨᶨ	˧˨˨	ɕɨᶨ˧˨˨	322	3	
徙	ɕɨᶨ	˧˨˨	ɕɨᶨ˧˨˨	322	3	
喜	ɕɨᶨ	˧˨˨	ɕɨᶨ˧˨˨	322	3	
信	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
釁	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
性	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
姓	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
興	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
汛	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
訊	ɕiŋ	˦˥	ɕiŋ˦˥	45	5	
刑	ɕiŋ	˨˦	ɕiŋ˨˦	24	2	
邢	ɕiŋ	˨˦	ɕiŋ˨˦	24	2	
行	ɕiŋ	˨˦	ɕiŋ˨˦	24	2	
形	ɕiŋ	˨˦	ɕiŋ˨˦	24	2	
型	ɕiŋ	˨˦	ɕiŋ˨˦	24	2	
心	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
芯	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
辛	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
欣	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
訢	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
新	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
鋅	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
薪	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
馨	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
鑫	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
星	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
猩	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
腥	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
興	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
杏	ɕiŋ	˧	ɕiŋ˧	33	6	
幸	ɕiŋ	˧	ɕiŋ˧	33	6	
