漢字	拼音	IPA	注釋										
多	to1	to˧˧											
他	tha1	tʰa˧˧											
舵	tua4	tua˧˥											
拖	thua1	tʰua˧˧											
拖	tho1	tʰo˧˧	文，推~										
駝	thoh8	tʰoʔ˥˦											
陀	tho2	tʰo˥˥											
馱	tho2	tʰo˥˥											
挪	no2	no˥˥											
羅	lo2	lo˥˥											
鑼	lo2	lo˥˥											
籮	lo2	lo˥˥											
左	tso3	tso˥˨											
佐	tso3	tso˥˨											
做	tso5	tso˨˩˨											
搓	so1	so˧˧											
搓	tsho1	tsʰo˧˧	文										
娑	so1	so˧˧											
歌	kua1	kua˧˧											
歌	ko1	ko˧˧	文										
哥	ko2	ko˥˥	口										
哥	ko1	ko˧˧											
個	kai2	kai˥˥	白										
個	ko4	ko˧˥	文										
軻	ko1	ko˧˧											
可	kho3	kʰo˥˨											
蛾	ngo2	ŋo˥˥											
鵝	go2	ᵑɡo˥˥											
俄	ngo2	ŋo˥˥											
我	ua3	ua˥˨											
我	ngo3	ŋo˥˨	文										
餓	go6	ᵑɡo˧˩											
何	ho2	ho˥˥											
河	ho2	ho˥˥											
荷	o4	o˧˥	負~										
荷	ho5	ho˨˩˨	薄~										
荷	ho2	ho˥˥	~花										
苛	kho1	kʰo˧˧											
賀	ho6	ho˧˩											
阿	a1	a˧˧											
阿	o1	o˧˧	又										
茄	kio2	kio˥˥											
茄	kia1	kia˧˧	又，雪~										
笳	kia1	kia˧˧											
波	po1	po˧˧											
跛	pho3	pʰo˥˨											
播	pua5	pua˨˩˨											
簸	pua5	pua˨˩˨											
坡	po1	po˧˧											
玻	po1	po˧˧											
頗	phuann3	pʰua ̃˥˨	白										
頗	pho1	pʰo˧˧	文										
頗	pho3	pʰo˥˨	又文										
婆	phua2	pʰua˥˥											
魔	mo2	mo˥˥											
磨	bua2	ᵐbua˥˥											
摩	mo2	mo˥˥											
朵	to3	to˥˨											
躲	to3	to˥˨											
剁	tok	tok	訓										
剁	to5	to˨˩˨	文										
妥	tho3	tʰo˥˨											
唾	tho3	tʰo˥˨											
惰	tuann4	tua ̃˧˥											
墮	tui4	tui˧˥	訓“墜”										
囉	lo2	lo˥˥											
糯	no5	no˨˩˨											
糯	tsuk8	tsuk˥˦	訓“秫”										
騾	lo2	lo˥˥											
螺	lo2	lo˥˥											
腡	lo2	lo˥˥											
裸	lo3	lo˥˨											
摞	loh8	loʔ˥˦											
銼	tsho4	tsʰo˧˥											
矬	tsho2	tsʰo˥˥											
坐	tso4	tso˧˥											
座	tso6	tso˧˩											
座	tso4	tso˧˥	又，椅~										
蓑	sui1	sui˧˧											
蓑	so1	so˧˧	文										
梭	so1	so˧˧											
唆	so1	so˧˧											
鎖	so3	so˥˨											
瑣	so3	so˥˨											
鍋	ue1	ue˧˧											
過	kue5	kue˨˩˨											
戈	kho1	kʰo˧˧											
戈	ko1	ko˧˧	新文										
果	kuainn3	kuai ̃˥˨	白										
果	kue3	kue˥˨	又白										
果	kuann3	kua ̃˥˨	文										
裹	kue3	kue˥˨											
科	khue1	kʰue˧˧											
棵	kho1	kʰo˧˧											
窠	khue1	kʰue˧˧											
窠	kho1	kʰo˧˧	文										
顆	kho1	kʰo˧˧											
課	khue5	kʰue˨˩˨											
訛	ho5	ho˨˩˨											
臥	o4	o˧˥											
火	hue3	hue˥˨											
夥	hue3	hue˥˨											
貨	hue5	hue˨˩˨											
禾	ta2	ta˥˥	訓										
禾	hua2	hua˥˥	文										
和	hue2	hue˥˥	白，~尚										
和	hua2	hua˥˥	文										
和	ho4	ho˧˥	又										
禍	hua4	hua˧˥											
倭	o1	o˧˧											
窩	o1	o˧˧											
涴	u5	u˨˩˨											
瘸	khue2	kʰue˥˥											
靴	hia1	hia˧˧											
巴	pa1	pa˧˧											
疤	pa1	pa˧˧											
芭	pa1	pa˧˧											
把	pe3	pe˥˨	白										
把	pa3	pa˥˨	文										
爸	pa2	pa˥˥											
爸	pa3	pa˥˨	又										
垻	pa5	pa˨˩˨											
霸	pa5	pa˨˩˨											
怕	phann5	pʰa ̃˨˩˨											
琶	pe22	pe˥˥˥˥											
爬	pe2	pe˥˥											
麻	mua2	mua˥˥											
蟆	po2	po˥˥	蛤~										
蟆	mo2	mo˥˥	又										
媽	ma2	ma˥˥	口										
媽	ma3	ma˥˨	奶奶，~祖										
媽	ma1	ma˧˧	文										
馬	be3	ᵐbe˥˨											
馬	ma3	ma˥˨	文										
碼	be3	ᵐbe˥˨											
罵	me6	me˧˩											
拿	na3	na˥˨											
詫	theh8	tʰeʔ˥˦	俗										
詫	tsha5	tsʰa˨˩˨											
茶	te2	te˥˥											
搽	tsha2	tsʰa˥˥											
查	tshe2	tsʰe˥˥											
渣	tsa1	tsa˧˧											
詐	tsa5	tsa˨˩˨											
榨	tsa5	tsa˨˩˨											
炸	tsa5	tsa˨˩˨											
