参考资料	阮桂君《五峰方言研究》
方言点	湖北省宜昌市五峰土家族自治县城关
方言归属	西南官话-湖广片-鄂中小片
制表人	阮桂君（武汉大学文学院教授）
修订、增补、上传	安琪拉三把手
声调	①阴平(55)②阳平(13)③上声(42)④去声(35)
说明	□代表正字有待考证的方言字
字目	音标
吱	ʦɿ55
孜	ʦɿ55
咨	ʦɿ55
姿	ʦɿ55
兹	ʦɿ55
资	ʦɿ55
滋	ʦɿ55
之	ʦɿ55
支	ʦɿ55
芝	ʦɿ55
枝	ʦɿ55
知	ʦɿ55
肢	ʦɿ55
脂	ʦɿ55
栀	ʦɿ55
淄	ʦɿ55
缁	ʦɿ55
辎	ʦɿ55
只	ʦɿ13
汁	ʦɿ13
织	ʦɿ13
执	ʦɿ13
侄	ʦɿ13
值	ʦɿ13
职	ʦɿ13
植	ʦɿ13
殖	ʦɿ13
质	ʦɿ13
直	ʦɿ13
掷	ʦɿ13
挚	ʦɿ13
炽	ʦɿ13
蛰	ʦɿ13
子	ʦɿ42
姊	ʦɿ42
秭	ʦɿ42
籽	ʦɿ42
梓	ʦɿ42
紫	ʦɿ42
滓	ʦɿ42
止	ʦɿ42
旨	ʦɿ42
酯	ʦɿ42
址	ʦɿ42
纸	ʦɿ42
指	ʦɿ42
趾	ʦɿ42
质	ʦɿ42
帜	ʦɿ42
芷	ʦɿ42
自	ʦɿ35
字	ʦɿ35
恣	ʦɿ35
至	ʦɿ35
志	ʦɿ35
制	ʦɿ35
炙	ʦɿ35
治	ʦɿ35
挚	ʦɿ35
致	ʦɿ35
秩	ʦɿ35
痔	ʦɿ35
智	ʦɿ35
痣	ʦɿ35
置	ʦɿ35
痔	ʦɿ35
誌	ʦɿ35
稚	ʦɿ35
雉	ʦɿ35
眦	ʦɿ35
渍	ʦɿ35
桎	ʦɿ35
窒	ʦɿ35
蛭	ʦɿ35
翅	ʦɿ35
滞	ʦɿ35
雌	ʦʰɿ55
痴	ʦʰɿ55
蚩	ʦʰɿ55
嗤	ʦʰɿ55
伺	ʦʰɿ55
摛	ʦʰɿ55
差	ʦʰɿ55
疵	ʦʰɿ55
池	ʦʰɿ13
驰	ʦʰɿ13
弛	ʦʰɿ13
迟	ʦʰɿ13
慈	ʦʰɿ13
辞	ʦʰɿ13
词	ʦʰɿ13
祠	ʦʰɿ13
持	ʦʰɿ13
赤	ʦʰɿ13
斥	ʦʰɿ13
尺	ʦʰɿ13
饲	ʦʰɿ13
瓷	ʦʰɿ13
糍	ʦʰɿ13
磁	ʦʰɿ13
踟	ʦʰɿ13
彳	ʦʰɿ13
㓾	ʦʰɿ13
此	ʦʰɿ42
耻	ʦʰɿ42
齿	ʦʰɿ42
侈	ʦʰɿ42
刺	ʦʰɿ35
次	ʦʰɿ35
赐	ʦʰɿ35
伺	ʦʰɿ35
秩	ʦʰɿ35
翅	ʦʰɿ35
斯	sɿ55
廝	sɿ55
撕	sɿ55
施	sɿ55
私	sɿ55
师	sɿ55
狮	sɿ55
尸	sɿ55
屍	sɿ55
司	sɿ55
丝	sɿ55
思	sɿ55
锶	sɿ55
诗	sɿ55
厮	sɿ55
时	sɿ13
十	sɿ13
失	sɿ13
室	sɿ13
实	sɿ13
食	sɿ13
蚀	sɿ13
识	sɿ13
式	sɿ13
饰	sɿ13
适	sɿ13
释	sɿ13
石	sɿ13
湿	sɿ13
拾	sɿ13
匙	sɿ13
什	sɿ13
拾	sɿ13
辻	sɿ13
死	sɿ42
矢	sɿ42
屎	sɿ42
使	sɿ42
史	sɿ42
驶	sɿ42
始	sɿ42
豉	sɿ42
世	sɿ35
势	sɿ35
誓	sɿ35
逝	sɿ35
是	sɿ35
氏	sɿ35
四	sɿ35
肆	sɿ35
泗	sɿ35
示	sɿ35
视	sɿ35
嗜	sɿ35
似	sɿ35
寺	sɿ35
士	sɿ35
仕	sɿ35
柿	sɿ35
俟	sɿ35
事	sɿ35
市	sɿ35
恃	sɿ35
试	sɿ35
侍	sɿ35
式	sɿ35
拭	sɿ35
轼	sɿ35
弑	sɿ35
嗣	sɿ35
饲	sɿ35
祀	sɿ35
噬	sɿ35
佀	sɿ35
明	miɚ13
今	ʨiɚ55
屄	pi55
笔	pi13
毕	pi13
必	pi13
逼	pi13
碧	pi13
壁	pi13
鼻	pi13
滗	pi13
铋	pi13
比	pi42
彼	pi42
匕	pi42
鄙	pi42
痹	pi35
毙	pi35
□	pi35
屄	pʰi55
批	pʰi55
劈	pʰi55
辟	pʰi13
僻	pʰi13
劈	pʰi13
皮	pʰi13
疲	pʰi13
脾	pʰi13
陂	pʰi13
铍	pʰi13
枇	pʰi13
毗	pʰi13
啤	pʰi13
琵	pʰi13
枇	pʰi13
匹	pʰi13
痞	pʰi42
鄙	pʰi42
屁	pʰi35
譬	pʰi35
咪	mi55
眯	mi55
迷	mi13
密	mi13
蜜	mi13
觅	mi13
糜	mi13
麋	mi13
弥	mi13
谜	mi13
泌	mi13
秘	mi13
猕	mi13
靡	mi13
汨	mi13
醚	mi13
宓	mi13
米	mi42
芈	mi42
□	mi35
低	ti55
堤	ti55
嘀	ti55
滴	ti13
嫡	ti13
笛	ti13
敌	ti13
狄	ti13
狄	ti13
迪	ti13
涤	ti13
糴	ti13
的	ti13
嘀	ti13
底	ti42
抵	ti42
诋	ti42
邸	ti42
砥	ti42
帝	ti35
弟	ti35
第	ti35
递	ti35
地	ti35
蒂	ti35
谛	ti35
缔	ti35
娣	ti35
棣	ti35
梯	tʰi55
踢	tʰi55
题	tʰi13
提	tʰi13
蹄	tʰi13
啼	tʰi13
踢	tʰi13
剔	tʰi13
醍	tʰi13
踢	tʰi13
堤	tʰi13
体	tʰi42
替	tʰi35
剃	tʰi35
剔	tʰi35
倜	tʰi35
惕	tʰi35
嚏	tʰi35
涕	tʰi35
屉	tʰi35
厉	ni55
□	ni55
泥	ni13
犁	ni13
黎	ni13
篱	ni13
尼	ni13
妮	ni13
昵	ni13
梨	ni13
倪	ni13
鲵	ni13
立	ni13
笠	ni13
粒	ni13
历	ni13
沥	ni13
雳	ni13
坜	ni13
栗	ni13
匿	ni13
力	ni13
励	ni13
戾	ni13
逆	ni13
离	ni13
璃	ni13
漓	ni13
溺	ni13
礼	ni42
你	ni42
李	ni42
里	ni42
理	ni42
鲤	ni42
锂	ni42
例	ni35
厉	ni35
砺	ni35
蛎	ni35
隶	ni35
腻	ni35
利	ni35
痢	ni35
吏	ni35
莉	ni35
厉	ni35
丽	ni35
俪	ni35
骊	ni35
荔	ni35
鸡	ʨi55
稽	ʨi55
