音标	调类	调值	汉字
ər	2	42	儿而
	3	55	理（不想~你）耳饵
	5	312	二
tsɿ	1	114	滋兹姿淄咨孜资知之支汁枝织芝执职肢质脂蜘只
	2	42	值侄直殖植
	3	55	籽姊子滓紫吱（～声）只止指纸址趾持（坚~）
	5	312	字自恣渍置至治智致制志帜痣掷
tshɿ	1	114	吹（白）疵呲（～牙）吃痴尺斥哧眵（眼屎：～抹糊）沏（~茶叶）
	2	42	慈词瓷磁辞迟池茌
	3	55	此持侈耻
	5	312	次刺赐翅
sɿ	1	114	丝斯思司撕嘶私湿施诗师失尸狮识式室适视（电~）
	2	42	时⼗实食石拾什（喀~）
	3	55	死使史屎始矢驶
	5	312	四寺似⼠市世事试仕似是势饰柿逝释拭示氏视
ʒɿ	5	312	日
pa	1	114	巴疤八叭扒（～拉）剥
	2	42	拔跋雹（老）爬（~叉）
	3	55	把靶粑
	5	312	霸坝爸鲅罢把
pha	1	114	趴啪
	2	42	爬琶耙
	5	312	怕帕
ma	1	114	妈抹（～布）
	2	42	麻蟆
	3	55	马码玛蚂（～蚍）嫲(⽼年妇⼥）
	5	312	骂蚂（～蚱）沫（在唾沫、豆沫糊中读轻声）
fa	1	114	发法
	2	42	伐罚阀乏
ʋa	1	114	洼挖凹娲
	2	42	娃蛙
	3	55	瓦¨（舀饭）¨（爪子挠人）
	5	312	袜洼
tsa	1	114	匝咂喳扎咋（～呼）楂猹渣
	2	42	砸杂¨（~衣裳：缝衣裳）轧炸铡榨
	3	55	眨闸拃
	5	312	蚱诈炸栅
tsha	1	114	擦叉差插碴察
	2	42	茶查茬猹碴¨（挡路）插
	3	55	衩
	5	312	叉杈岔差
sa	1	114	撒仨杀沙纱砂莎刹鲨裟痧煞（~白：很白）
	2	42	啥
	3	55	洒撒傻
	5	312	萨飒厦（～檐台）煞霎刹（~树：锯树）
ta	1	114	耷搭答
	2	42	打达妲爹沓
	3	55	打
	5	312	大
tha	1	114	他（其~）趿塌溻踏塔
	3	55	他它她
	5	312	拓蹋
na	1	114	纳捺
	2	42	拿
	3	55	哪嗱（叹词～，给你）
	5	312	那娜钠衲
la	1	114	拉（半～）垃落（沥~）
	2	42	剌旯喇（口喇喇）¨（说）
	3	55	喇
	5	312	剌落腊蜡辣
ka	1	114	咖（～喱）嘎
	2	42	嗝（~气）¨（切开）¨（横杠线）
