正體	省写	/IPA/	[IPA]	注释
芘	芘	pʰi˨˩	pʰi˨˩	花草名，锦葵；化学名
辟	辟	pʰi˨˩	pʰi˨˩	
僻	僻	pʰi˨˩	pʰi˨˩	
擗	擗	pʰi˨˩	pʰi˨˩	
𢹐	𢹐	pʰi˨˩	pʰi˨˩	
劈	劈	pʰi˨˩	pʰi˨˩	
孹	孹	pʰi˨˩	pʰi˨˩	
霹	霹	pʰi˨˩	pʰi˨˩	
闢	辟	pʰi˨˩	pʰi˨˩	
癖	癖	pʰi˨˩	pʰi˨˩	
鄙	鄙	pʰi˦˨	pʰi˦˧	
否	否	pʰi˦˨	pʰi˦˧	臧~；~极泰来
痞	痞	pʰi˦˨	pʰi˦˧	
譬	譬	pʰi˦˨	pʰi˦˧	~如
彼	彼	pʰi˦˨	pʰi˦˧	
媲	媲	pʰi˦˨	pʰi˦˧	
毗	毗	pʰi˦˨	pʰi˦˧	
吡	吡	pʰi˦˨	pʰi˦˧	
庇	庇	pʰi˦˨	pʰi˦˧	
匕	匕	pʰi˦˨	pʰi˦˧	
圮	圮	pʰi˦˨	pʰi˦˧	
紕	纰	pʰi˩˧	pʰi˨˦	
庇	庇	pʰi˩˧	pʰi˨˦	~护
屁	屁	pʰi˩˧	pʰi˨˦	
芘	芘	pʰi˩˧	pʰi˨˦	庇护
片	片	pʰi˩˧	pʰi˨˦	鸦~烟；鸦~花
丕	丕	pʰi˩˧	pʰi˨˦	构词法“……~剌沙”
咪	咪	mi˥	mᵇi˦˥	
瞇	眯	mi˥	mᵇi˦˥	
蜜	蜜	mi˥	mᵇi˦˥	甜~~
梅	梅	mi˥	mᵇi˦˥	杨~
妹	妹	mi˥	mᵇi˦˥	白读
微	微	mi˥	mᵇi˦˥	小~~点
奶	奶	mi˥	mᵇi˦˥	乳房
蔤	蔤	mi˨˩	mᵇi˨˩	
密	密	mi˨˩	mᵇi˨˩	
蜜	蜜	mi˨˩	mᵇi˨˩	
迷	迷	mi˨˩	mᵇi˨˩	
醚	醚	mi˨˩	mᵇi˨˩	
彌	弥	mi˨˩	mᵇi˨˩	
瀰	㳽	mi˨˩	mᵇi˨˩	
靡	靡	mi˨˩	mᵇi˨˩	
糜	糜	mi˨˩	mᵇi˨˩	
眉	眉	mi˨˩	mᵇi˨˩	~毛；脑~心，指双眉之间；憨~憨眼；装疯眉翘
汨	汨	mi˨˩	mᵇi˨˩	
泌	泌	mi˨˩	mᵇi˨˩	
秘	秘	mi˨˩	mᵇi˨˩	神~
覓	觅	mi˨˩	mᵇi˨˩	
米	米	mi˦˨	mᵇi˦˧	
迷	迷	mi˩˧	mᵇi˨˦	猫猫~，童谣音；一~头，表示一饮而尽
謎	谜	mi˩˧	mᵇi˨˦	
咪	咪	mi˩˧	mᵇi˨˦	猫猫~，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
昧	昧	mi˩˧	mᵇi˨˦	
沕	沕	mi˩˧	mᵇi˨˦	~头；~子
底	底	ti˥	ti˦˥	即“的”
低	低	ti˥	ti˦˥	
的	的	ti˥	ti˦˥	文读
點	点	ti˥	ti˦˥	~~个；一~点
滴	滴	ti˥	ti˦˥	~~，拟声词
的	的	ti˨˩	ti˨˩	目~；~确
滴	滴	ti˨˩	ti˨˩	
嫡	嫡	ti˨˩	ti˨˩	
笛	笛	ti˨˩	ti˨˩	
迪	迪	ti˨˩	ti˨˩	
敵	敌	ti˨˩	ti˨˩	
踢	踢	ti˨˩	ti˨˩	~脚扳手
狄	狄	ti˨˩	ti˨˩	
滌	涤	ti˨˩	ti˨˩	
扚	扚	ti˨˩	ti˨˩	文读
迭	迭	ti˨˩	ti˨˩	~忙、~住，指赶忙、抓紧
底	底	ti˦˨	ti˦˧	
抵	抵	ti˦˨	ti˦˧	
弟	弟	ti˩˧	ti˨˦	
第	第	ti˩˧	ti˨˦	
涕	涕	ti˩˧	ti˨˦	
悌	悌	ti˩˧	ti˨˦	
遞	递	ti˩˧	ti˨˦	
帝	帝	ti˩˧	ti˨˦	
隸	隶	ti˩˧	ti˨˦	
逮	逮	ti˩˧	ti˨˦	文读
螮	䗖	ti˩˧	ti˨˦	
地	地	ti˩˧	ti˨˦	
滴	滴	ti˩˧	ti˨˦	娇~~
剔	剔	tʰi˥	tʰi˦˥	白读
梯	梯	tʰi˥	tʰi˦˥	
銻	锑	tʰi˥	tʰi˦˥	
堤	堤	tʰi˨˩	tʰi˨˩	
提	提	tʰi˨˩	tʰi˨˩	
醍	醍	tʰi˨˩	tʰi˨˩	
題	题	tʰi˨˩	tʰi˨˩	
蹄	蹄	tʰi˨˩	tʰi˨˩	
啼	啼	tʰi˨˩	tʰi˨˩	
踢	踢	tʰi˨˩	tʰi˨˩	
惕	惕	tʰi˨˩	tʰi˨˩	
剔	剔	tʰi˨˩	tʰi˨˩	文读
體	体	tʰi˦˨	tʰi˦˧	
替	替	tʰi˩˧	tʰi˨˦	
剃	剃	tʰi˩˧	tʰi˨˦	
嚏	嚏	tʰi˩˧	tʰi˨˦	
戻	戻	tʰi˩˧	tʰi˨˦	
躧	躧	ni˥	nᵈi˦˥	踩着物品磨擦以粉碎破坏；利用路面积水或凸起蹭掉鞋底异物
跜	跜	ni˥	nᵈi˦˥	蠕动
抳	抳	ni˥	nᵈi˦˥	研磨
里	里	ni˥	nᵈi˦˥	即“哩”
哩	哩	ni˥	nᵈi˦˥	叽~咕噜
栗	栗	ni˥	nᵈi˦˥	毛~
黎	黎	ni˨˩	nᵈi˨˩	
犁	犁	ni˨˩	nᵈi˨˩	
梨	梨	ni˨˩	nᵈi˨˩	
離	离	ni˨˩	nᵈi˨˩	
璃	璃	ni˨˩	nᵈi˨˩	
灕	漓	ni˨˩	nᵈi˨˩	
籬	篱	ni˨˩	nᵈi˨˩	
尼	尼	ni˨˩	nᵈi˨˩	
呢	呢	ni˨˩	nᵈi˨˩	直贡~
泥	泥	ni˨˩	nᵈi˨˩	
妮	妮	ni˨˩	nᵈi˨˩	
暱	昵	ni˨˩	nᵈi˨˩	
匿	匿	ni˨˩	nᵈi˨˩	
釐	厘	ni˨˩	nᵈi˨˩	
狸	狸	ni˨˩	nᵈi˨˩	
喱	喱	ni˨˩	nᵈi˨˩	
立	立	ni˨˩	nᵈi˨˩	
粒	粒	ni˨˩	nᵈi˨˩	
栗	栗	ni˨˩	nᵈi˨˩	
礫	砾	ni˨˩	nᵈi˨˩	
䃯	䃯	ni˨˩	nᵈi˨˩	
葎	葎	ni˨˩	nᵈi˨˩	
箻	箻	ni˨˩	nᵈi˨˩	
律	律	ni˨˩	nᵈi˨˩	
聿	聿	ni˨˩	nᵈi˨˩	
力	力	ni˨˩	nᵈi˨˩	
率	率	ni˨˩	nᵈi˨˩	
曆	历	ni˨˩	nᵈi˨˩	
歷	历	ni˨˩	nᵈi˨˩	
瀝	沥	ni˨˩	nᵈi˨˩	
靂	雳	ni˨˩	nᵈi˨˩	
溺	溺	ni˨˩	nᵈi˨˩	
宜	宜	ni˨˩	nᵈi˨˩	
誼	谊	ni˨˩	nᵈi˨˩	白读
疑	疑	ni˨˩	nᵈi˨˩	
逆	逆	ni˨˩	nᵈi˨˩	
倪	倪	ni˨˩	nᵈi˨˩	
掜	掜	ni˨˩	nᵈi˨˩	
婗	婗	ni˨˩	nᵈi˨˩	
霓	霓	ni˨˩	nᵈi˨˩	
凝	凝	ni˨˩	nᵈi˨˩	~定，指发呆走神
儀	仪	ni˨˩	nᵈi˨˩	白读
旎	旎	ni˦˨	nᵈi˦˧	
女	女	ni˦˨	nᵈi˦˧	
旅	旅	ni˦˨	nᵈi˦˧	
膂	膂	ni˦˨	nᵈi˦˧	
禮	礼	ni˦˨	nᵈi˦˧	
履	履	ni˦˨	nᵈi˦˧	
你	你	ni˦˨	nᵈi˦˧	
李	李	ni˦˨	nᵈi˦˧	
理	理	ni˦˨	nᵈi˦˧	
鯉	鲤	ni˦˨	nᵈi˦˧	
俚	俚	ni˦˨	nᵈi˦˧	
娌	娌	ni˦˨	nᵈi˦˧	
哩	哩	ni˦˨	nᵈi˦˧	
裏	里	ni˦˨	nᵈi˦˧	
裡	裡	ni˦˨	nᵈi˦˧	
擬	拟	ni˦˨	nᵈi˦˧	
麗	丽	ni˩˧	nᵈi˨˦	
荔	荔	ni˩˧	nᵈi˨˦	
膩	腻	ni˩˧	nᵈi˨˦	
溺	溺	ni˩˧	nᵈi˨˦	~巴子，指唾沫星子；屙~，指小便
利	利	ni˩˧	nᵈi˨˦	
痢	痢	ni˩˧	nᵈi˨˦	
例	例	ni˩˧	nᵈi˨˦	
詈	詈	ni˩˧	nᵈi˨˦	
吏	吏	ni˩˧	nᵈi˨˦	
戾	戾	ni˩˧	nᵈi˨˦	
唳	唳	ni˩˧	nᵈi˨˦	
蒞	莅	ni˩˧	nᵈi˨˦	
離	离	ni˩˧	nᵈi˨˦	~开；~婚
義	义	ni˩˧	nᵈi˨˦	~气
議	议	ni˩˧	nᵈi˨˦	白读
蟻	蚁	ni˩˧	nᵈi˨˦	蚂~子
藝	艺	ni˩˧	nᵈi˨˦	手~
宜	宜	ni˩˧	nᵈi˨˦	便~，指方便
居	居	tɕi˥	tɕi˦˥	
車	车	tɕi˥	tɕi˦˥	象棋用语
拘	拘	tɕi˥	tɕi˦˥	
驹	驹	tɕi˥	tɕi˦˥	
呴	呴	tɕi˥	tɕi˦˥	叫~，即口哨
俱	俱	tɕi˥	tɕi˦˥	
狙	狙	tɕi˥	tɕi˦˥	
沮	沮	tɕi˥	tɕi˦˥	
苴	苴	tɕi˥	tɕi˦˥	
且	且	tɕi˥	tɕi˦˥	~兰，即今黄平
雞	鸡	tɕi˥	tɕi˦˥	
鷄	鸡	tɕi˥	tɕi˦˥	即“㞓”
稽	稽	tɕi˥	tɕi˦˥	
羈	羁	tɕi˥	tɕi˦˥	
基	基	tɕi˥	tɕi˦˥	
姬	姬	tɕi˥	tɕi˦˥	
機	机	tɕi˥	tɕi˦˥	
譏	讥	tɕi˥	tɕi˦˥	
幾	几	tɕi˥	tɕi˦˥	
飢	饥	tɕi˥	tɕi˦˥	
肌	肌	tɕi˥	tɕi˦˥	
几	几	tɕi˥	tɕi˦˥	
唧	唧	tɕi˥	tɕi˦˥	
擠	挤	tɕi˥	tɕi˦˥	衣物尺码过小；强行穿尺码过小的衣物
臍	脐	tɕi˥	tɕi˦˥	肚~眼
薺	荠	tɕi˥	tɕi˦˥	荸~
奇	奇	tɕi˥	tɕi˦˥	
畸	畸	tɕi˥	tɕi˦˥	
膝	膝	tɕi˥	tɕi˦˥	乞~脑壳
錐	锥	tɕi˥	tɕi˦˥	~人，指戳、刺的动作
雎	雎	tɕi˥	tɕi˦˥	
𩐒	𩐒	tɕi˥	tɕi˦˥	
䪡	䪡	tɕi˥	tɕi˦˥	
㞓	㞓	tɕi˥	tɕi˦˥	男阴，粗语
季	季	tɕi˥	tɕi˦˥	四~豆
吉	吉	tɕi˥	tɕi˦˥	小宅~
緝	缉	tɕi˨˩	tɕi˨˩	
輯	辑	tɕi˨˩	tɕi˨˩	
集	集	tɕi˨˩	tɕi˨˩	
級	级	tɕi˨˩	tɕi˨˩	
圾	圾	tɕi˨˩	tɕi˨˩	
吸	吸	tɕi˨˩	tɕi˨˩	
及	及	tɕi˨˩	tɕi˨˩	
疾	疾	tɕi˨˩	tɕi˨˩	
給	给	tɕi˨˩	tɕi˨˩	文读
吉	吉	tɕi˨˩	tɕi˨˩	
桔	桔	tɕi˨˩	tɕi˨˩	
拮	拮	tɕi˨˩	tɕi˨˩	
佶	佶	tɕi˨˩	tɕi˨˩	
狤	狤	tɕi˨˩	tɕi˨˩	
即	即	tɕi˨˩	tɕi˨˩	
鯽	鲫	tɕi˨˩	tɕi˨˩	
棘	棘	tɕi˨˩	tɕi˨˩	
亟	亟	tɕi˨˩	tɕi˨˩	
極	极	tɕi˨˩	tɕi˨˩	
積	积	tɕi˨˩	tɕi˨˩	
稷	稷	tɕi˨˩	tɕi˨˩	
跡	迹	tɕi˨˩	tɕi˨˩	
脊	脊	tɕi˨˩	tɕi˨˩	
籍	籍	tɕi˨˩	tɕi˨˩	
藉	藉	tɕi˨˩	tɕi˨˩	
藉	借	tɕi˨˩	tɕi˨˩	
戟	戟	tɕi˨˩	tɕi˨˩	
屐	屐	tɕi˨˩	tɕi˨˩	
績	绩	tɕi˨˩	tɕi˨˩	
寂	寂	tɕi˨˩	tɕi˨˩	
擊	击	tɕi˨˩	tɕi˨˩	
激	激	tɕi˨˩	tɕi˨˩	
己	己	tɕi˨˩	tɕi˨˩	妲~
杞	杞	tɕi˨˩	tɕi˨˩	枸~
紀	纪	tɕi˨˩	tɕi˨˩	年~
舉	举	tɕi˦˨	tɕi˦˧	
矩	矩	tɕi˦˨	tɕi˦˧	
枸	枸	tɕi˦˨	tɕi˦˧	~橼酸
莒	莒	tɕi˦˨	tɕi˦˧	
擠	挤	tɕi˦˨	tɕi˦˧	
幾	几	tɕi˦˨	tɕi˦˧	
己	己	tɕi˦˨	tɕi˦˧	
紀	纪	tɕi˦˨	tɕi˦˧	
麂	麂	tɕi˦˨	tɕi˦˧	
據	据	tɕi˩˧	tɕi˨˦	
鋸	锯	tɕi˩˧	tɕi˨˦	
踞	踞	tɕi˩˧	tɕi˨˦	
巨	巨	tɕi˩˧	tɕi˨˦	
