"#符号说明：-白=文/书*俗?待考"	
"tʰ"	"［1］梯［8］堤题提蹄踢惕［3］体［5］嚏替涕剃啼剔"
"n"	"［8］倪霓尼拟妮昵泥［5］腻逆溺"
"l"	"［1］的{我～}［8］离篱璃离犁黎梨厘立笠粒力历［3］吕旅礼李里狸理鲤你妳［5］虑滤例厉励丽隶荔呢腻蜊履利痢吏劣栗律率疬"
"ʨ"	"［1］知蜘踟支枝肢豉妓肌缉［8］栀只帜质集蛰执疾质即鲫织直值职殖植戟积迹脊籍藉绩［3］藉纸挤济脂旨指止趾址臻［5］智制祭际剂稽技致稚至矢置痔治志痣炙寂这"
"ʨʰ"	" ［1］痴妻［8］池弛驰差{参～}齐脐匙{汤～}岐歧迟鳍持嗤杞泣七漆膝赤尺戚{亲～}［3］耻齿侈［5］屉砌翅弃炽"
"ɕ"	"［1］西栖牺犀奚兮施匙{钥～}尸诗［8］时鲥辑习袭湿十拾悉蟋实失室息熄媳啬食蚀识饰惜昔席夕适释石锡析［3］玺徙洗屎史驶使始［5］世势誓逝细婿是氏示视柿试市恃什式"
"k"	"［1］鸡基机讥饥屐［8］急级及吸桔吉极击激菊鞠局［3］己纪几［5］计继系{～鞋带}寄记忌既季"
"kʰ"	"［1］欺期曲{弯～}［8］奇骑徛倚祁其棋旗麒岂祈乞吃［3］启企起曲{歌～}［5］契器气汽弃"
"h"	"［1］虚嘘溪熙希稀［8］嬉［3］许喜［5］系{关～}戏"
"z"	"［1］医矣衣依［8］缢宜仪谊椅移夷姨疑沂遗揖日乙一逸益［3］已以［5］艺蚁义议易冀肄意忆亿翼译抑疫"
"#u"	
"p"	"［8］不北百佰白［3］补鼻哺［5］簸布怖部簿步"
"pʰ"	"［1］铺{～平}［8］脯葡卜扑仆讣［3］谱圃普浦蒲捕甫脯朴瀑［5］铺{店～}埠曝"
"m"	"［1］模～子巫墨麦脉木目牧睦［3］母拇［5］暮慕墓幕"
"f"	"［1］夫芙肤敷孵［8］俘麸符扶浮佛缚福蝠腹辐覆服伏复沸拂氟涪袱弗［3］府腑俯斧釜腐甫辅［5］付赋傅咐父附驸富副妇负幅赴阜"
"v"	"［1］乌污坞诬［8］吴蜈吾梧抚无物勿握屋恶［3］五伍午武舞侮鹉［5］募误悟互务雾戊"
"t"	"［1］都督［8］屠独读牍犊笃督毒［3］堵赌肚{猪～}睹［5］肚{～子}妒杜度渡镀"
"tʰ"	"［1］突［8］徒途涂图猝忽［3］土［5］吐"
"n"	"［8］奴驽［3］弩［5］怒"
"l"	"［8］卢炉芦鸬庐鹿禄六陆绿录如-［3］鲁橹虏卤汝撸努［5］路赂露鹭碌璐"
"ts"	"［1］租诛［8］卒族竹筑逐祝粥足烛嘱［3］祖组阻［5］箸助蛀铸"
"tsʰ"	"［1］粗［8］出畜搐触簇促［3］储楚础杵［5］处醋"
"s"	"［1］苏酥［8］术速肃宿缩叔熟孰塾粟俗续赎束属［3］数{～钱}［5］诉塑素嗉数{～目}竖漱"
"z"	"［8］儒肉育辱褥欲如="
"k"	"［1］姑孤鸪辜估枯［8］骨国谷［3］古牯股鼓［5］故固锢雇顾"
"kʰ"	"［1］箍窟［8］哭［3］苦［5］酷"
"h"	"［1］呼乎［8］浒狐壶胡湖蝴糊葫［3］虎唬［5］戽户沪护"
"#y"	
"ʨ"	"［1］蛛株朱珠猪诸居车{～马炮}拘驹［3］拄矩煮举主注驻［5］俱具惧橘巨据锯渠拒距聚柱住句剧"
"ʨʰ"	"［1］趋雏枢区驱［8］瞿除屈厨橱躇滁雏［3］取娶［5］处趣"
"ɕ"	"［8］徐［1］殊姝枢书纾舒需须［5］树续旭序叙蓄绪絮煦［3］许诩栩"
"n"	"［3］女"
"z"	"［8］于圩迂盂淤余与虞寓役［3］语雨宇禹羽芋郁［5］郁狱浴入玉"
"#ɿ"	
"ts"	"［1］资姿咨兹滋之芝［8］滓责侄［3］紫姊子梓秩［5］滞自字牸巳"
"tsʰ"	"［8］雌糍辞词祠嗣侧测厕策册斥疵茨磁瓷慈［3］此［5］刺赐次"
"s"	"［1］斯厮撕私师狮蛳司丝思饲［8］涩虱塞{堵～}色［3］死使［5］四肆嗜伺似祀寺士仕俟事侍"
"#ia"	
"ʨ"	"［1］茄佳"
"ʨʰ"	"［8］恰"
"ɕ"	"［8］霞遐暇峡洽侠辖"
"k"	"［1］家加痂嘉 ［8］夹狭挟甲胛匣［3］假{真～}贾［5］架驾嫁稼价假{请～} "
"h"	"［1］虾［3］下夏厦"
"#ua"	
"ts"	"［1］抓"
"s"	"［8］刷［3］耍"
"k"	"［1］瓜［8］括刮［3］寡剐［5］挂卦"
"kʰ"	"［1］夸［8］垮［5］胯跨"
"h"	"［1］花［8］华铧桦滑猾［5］化划画话"
"#ai"	
"p"	"［3］摆［5］拜败稗"
"pʰ"	"［1］拍［8］排牌篺［5］派"
"m"	"［8］埋［3］买［5］卖迈"
"v"	"［1］歪［5］外"
"t"	"［1］呆［3］逮傣歹［5］戴带待怠殆代贷袋岱玳"
"tʰ"	"［1］胎台［5］太泰态钛肽汰［3］奤［8］台抬苔薹邰臺擡檯颱"
"n"	
"l"	"［5］赖癞濑耐奈［8］莱［3］乃奶氖廼迺"
"ts"	"［1］灾栽斋摘斋［3］宰载{年～}崽仔窄［5］再载{～重、满～}债寨"
"tsʰ"	"［1］猜钗差{出～}拆［8］才材财豺裁柴［3］采彩睬踩［5］菜蔡"
"s"	"［1］腮鳃筛塞筛［5］赛晒"
"z"	"［8］涯崖"
"ʨ"	"［1］皆"
"k"	"［1］该阶街［3］改解{～放}［5］盖介界芥尬疥届戒械钙"
"kʰ"	"［1］开揩［3］丐凯楷［5］概溉慨{感～}"
"h"	"［8］孩鞋［3］海［5］亥骇害"
"ŋ"	"［8］癌"
"Ø"	"［1］哀埃挨{～打}［3］蔼矮［5］碍艾哎爱隘［8］椰皑"
"#uai"	
"ts"	"［3］掷拽"
"tsʰ"	"［1］揣"
"s"	"［1］衰摔［3］甩［5］帅"
"k"	"［1］乖［3］拐［5］怪［8］果-"
"kʰ"	"［5］块筷快"
"h"	"［8］怀槐淮［5］坏"
"#au"	
"p"	"［1］包胞苞［8］雹［3］褒保堡宝饱［5］报抱暴菢豹爆鲍曝"
"pʰ"	"［1］抛脬剖［8］袍跑=刨{～刀}［5］泡炮鳔"
"m"	"［8］毛矛茅猫锚［3］卯藐牡［5］冒帽貌"
"t"	"［1］刀叨［3］祷岛倒{～塌}捣导蹈［5］到倒{～挂}道稻盗悼"
"tʰ"	"［1］滔掏涛［8］桃逃淘陶萄［3］讨［5］套"
"n"	"［1］孬［3］脑恼［5］闹［8］挠嫐"
"l"	"［1］唠捞［8］劳牢痨涝［3］老姥"
"ts"	"［1］遭糟朝{今～}召{号～、～集}昭招［3］皂早枣蚤澡爪找［5］藻灶罩赵兆肇照躁造燥"
"tsʰ"	"［1］操抄钞超糙［8］曹槽嘲巢朝潮［3］草炒吵"
"s"	"［1］骚臊搔艘梢筲鞘稍烧［3］扫{～地}嫂少{多～}［5］扫{～把}韶绍邵少{～年}"
"z"	"［1］妖邀腰［8］饶绕{围～}挠摇谣窑姚遥尧［3］扰舀［5］要耀绕{～圈}"
"k"	"［1］高膏篙羔糕皋 ［3］稿搞镐［5］告"
"kʰ"	"［1］敲［3］考烤［5］拷靠犒"
"h"	"［1］豪壕毫郝［3］好{良～}［5］耗号浩好{喜～}"
"ŋ"	
"Ø"	"［3］咬［5］傲袄奥懊澳坳［8］熬敖翱［1］凹"
"#iau"	
"p"	"［1］标彪膘［3］表"
"pʰ"	"［1］膘飘漂{～浮}［8］瓢嫖［3］票"
"m"	"［8］苗描［3］杳秒［3］渺庙妙"
"t"	"［1］刁貂雕碉叼凋［5］钓吊掉调{～查}"
"tʰ"	"［1］挑{单～}［3］挑{～战}［8］条调{协～}［5］跳"
"n"	"［3］鸟嬲［5］尿="
"l"	"［8］聊疗辽撩僚嘹燎［3］了［5］镣瞭{～望}料廖撂"
"ʨ"	"［1］焦蕉椒［3］侥"
"ʨʰ"	"［1］锹缲蹻［8］樵瞧［5］俏鞘翘"
"ɕ"	"［1］捎消宵霄硝销逍嚣萧箫［3］小［5］笑"
"k"	"［1］交郊胶茭骄娇浇［3］绞狡搅缴［5］教{～训}校{～对、学～}较酵窖觉矫轿叫"
"kʰ"	"［8］乔侨桥［3］巧［5］窍"
"h"	"［8］淆［3］肴晓［5］孝效"
"#io"	
"n"	"［8］虐疟"
"l"	"［8］略"
"ʨ"	"［8］爵嚼"
"ʨʰ"	"［8］雀鹊搉"
"ɕ"	
"k"	"［8］脚觉"
"kʰ"	"［8］却"
"h"	"［8］学"
"z"	"［8］钥"
"Ø"	"［8］乐"
"#uo"	
"tʰ"	"［5］唾"
"k"	"［1］锅［3］果=裹馃［5］过"
"kʰ"	"［1］棵蝌［5］课"
"h"	"［1］豁［8］河何禾和［3］火伙［5］贺货祸"
"#əu"	
"m"	"［8］谋［3］某亩［5］茂贸"
"f"	"［3］否"
"t"	"［1］兜［3］抖陡斗{北～}［5］斗{争～}豆逗痘"
"tʰ"	"［1］偷［8］头投［5］透"
"l"	"［8］楼［3］搂篓 ［5］漏陋"
"ts"	"［1］邹周舟州洲［3］走肘［5］奏昼纣宙皱绉骤咒轴"
"tsʰ"	"［1］抽搊［8］绸稠筹愁仇酬畴踌［3］丑［5］臭凑"
"s"	"［1］搜飕馊搜收［3］手首守［5］嗽瘦帚兽受寿授售"
"z"	"［1］优忧悠幽［8］柔揉尤邮由油游犹酉［3］有友"
"k"	"［1］勾钩沟［3］狗苟［5］垢够构购"
"kʰ"	"［1］抠［3］口［5］叩扣寇"
"h"	"［8］侯喉猴［3］吼［5］后厚候"
"Ø"	"［1］欧鸥呕殴［3］藕偶［5］沤怄"
"#iəu"	
"m"	"［5］谬"
"t"	"［1］丢"
"n"	
"l"	"［1］溜妞［8］流刘留榴硫琉馏牛［3］柳纽扭钮［5］没"
"ʨ"	"［1］揪［3］酒灸［5］就"
"ʨʰ"	"［1］秋鳅［8］囚"
"ɕ"	"［1］修羞［5］秀绣锈袖嗅"
"k"	"［1］鸠纠［3］九久韭［5］救究舅旧臼"
"kʰ"	"［1］阄丘蚯柩［8］求球"
"h"	"［1］休［3］朽"
"Ø"	"［3］莠［5］又右佑诱柚釉幼"
"#iɛ"	
"p"	"［8］别鳖憋［3］瘪"
"pʰ"	"［8］撇"
"m"	"［8］灭篾"
"t"	"［1］爹［8］跌碟蝶谍叠迭"
"tʰ"	"［8］帖{妥～}帖{请～}铁"
"n"	"［8］聂镊蹑孽业捏涅"
"l"	"［8］猎业列烈裂"
"ʨ"	"［1］遮［8］接捷哲蜇辙折{～叠}浙节疖截绝厥蕨掘倔镢［3］姐者［5］借蔗褶"
"ʨʰ"	"［1］车［8］斜妾彻撤澈徹切窃［3］且扯［5］笡翅"
"ɕ"	"［8］释"
"k"	"［8］秸劫杰揭竭结洁决诀"
"kʰ"	"［1］怯［8］瘸缺"
"h"	"［8］血穴胁协歇"
"Ø"	"［1］曰［8］爷热噎阅亦叶{姓}［3］惹也野［5］夜掖液腋"
"#yɛ"	
"ɕ"	"［8］雪［1］靴"
"z"	"［8］月越粤"
"#əi"	
"p"	"［1］背{～包}碑卑杯悲［3］贝辈背后{～背}倍佩被{～迫}钡狈惫焙"
"pʰ"	"［1］胚坯［8］培陪赔裴［5］沛配"
"m"	"［8］枚玫媒煤梅脢莓眉楣霉没=看-［3］每美寐［5］妹昧媚"
"f"	"［1］非飞妃菲啡［8］肥［3］匪诽翡［5］废肺痱费吠沸"
"v"	"［1］煨［8］危伪为{行～}维惟唯微围违桅［3］委［5］喂卫为{～了}"
"t"	"［1］堆［5］对队兑"
"tʰ"	"［1］推［3］腿［5］退蜕"
"l"	"［8］雷擂{～鼓}儡来［3］屡累{积～}垒［5］内累{劳～}类泪"
"ts"	"［8］汁-翟［5］罪赘醉在"
"tsʰ"	"［5］脆翠瘁粹淬［8］才{刚刚、刚才}"
"s"	"［1］虽尿-［5］碎岁税瑞［8］席{草～}"
"k"	"［3］给"
"Ø"	"［8］儿"
"#uəi"	
"tʰ"	"［8］颓"
"l"	"［8］蕊□{女儿俗称}［3］驴缕"
"ts"	"［1］缀锥追［3］嘴［5］坠"
"tsʰ"	"［1］催崔吹炊摧［8］槌锤垂捶"
"s"	"［1］绥［8］谁戌随［3］水［5］睡遂隧率蟀"
"k"	"［1］圭闺奎规龟［3］诡轨［5］跪癸柜"
"kʰ"	"［1］亏［8］魁傀逵葵窥［5］库裤溃桧"
"h"	"［1］盔恢灰［8］回茴［3］悔毁愧［5］贿晦汇刽会{开～}绘彗秽惠慧麾穗"
"#ui"	
"tʰ"	"［8］秃［5］兔"
"n"	
"ts"	"［5］最"
"tsʰ"	"［1］蛆［8］［3］鼠"
"s"	"［8］髓"
"k"	"［1］归［3］鬼［5］桂贵"
"h"	"［1］挥辉徽［5］讳"
"#an"	
"v"	"［8］惋腕顽宛"
"n"	"［8］男南湳喃楠"
"ts"	"［1］瞻［3］攒［5］占"
"s"	
"z"	
"h"	"［8］咸衔"
"Ø"	
"#iən"	
"p"	"［1］鞭编边［8］蝙［3］贬扁匾［5］变辨辩辫汴卞便{方～}遍"
"pʰ"	"［1］篇偏［8］便{～宜}［5］骗遍片"
"m"	"［8］绵棉眠［3］免勉娩缅［5］面"
"t"	"［1］颠癫掂滇［3］点典腆碘［5］店电殿奠垫淀靛佃甸掂"
"tʰ"	"［1］添天［8］甜田填［3］舔"
"n"	
"l"	"［3］敛辇撵［5］殓练炼楝恋念［8］年鲶莲廉镰帘连联鲢粘拈"
"ʨ"	"［1］监尖沾砧锏煎笺铅［3］鉴柬剪展［5］暂渐涧箭溅浅践贱饯荐"
"ʨʰ"	"［1］歼签纤迁千［8］钱虔前"
"ɕ"	"［1］仙鲜掀先［8］涎眩［3］闪癣［5］陷馅芡限苋线羡善鳝膳扇"
"k"	"［1］掮肩坚绢捐鹃［3］减碱咸检拣茧趼卷{试～}［5］俭剑件建键健见舰倦眷"
"kʰ"	"［1］兼谦牵圈{圆～}［8］乾拳权犬钳=［3］遣［5］嵌欠歉劝"
"h"	"［1］跑-［8］嫌贤弦舷悬［3］险显蚬［5］宪献现县"
"z"	"［1］腌烟燕{～国}淹=阉蔫焉胭［8］俨炎盐阎檐严延言然燃筵岩=［3］掩演衍冉［5］验厌艳焰砚燕{～子}宴谚"
"Ø"	
"#uən"	
"p"	"［5］伴半拌绊"
"pʰ"	"［8］盘［5］判"
"m"	"［8］瞒［3］满"
"t"	"［1］端［3］短［5］断段缎锻"
"tʰ"	"［8］团"
"n"	"［3］暖"
"l"	"［8］鸾銮［3］卵［5］乱"
"ts"	"［1］专砖［3］转{～动、运～}［5］钻{～研、电～}纂撰篆传{～记}圈{猪～}撞赚"
"tsʰ"	"［1］川穿椿春［8］全泉船椽传鹑淳［5］窜篡串蹿［3］喘蠢"
"s"	"［1］轩酸闩栓宣喧［8］旋{回～}玄悬［3］选［5］算蒜涮旋{～风}"
"z"	"［1］冤鸳渊［3］远软=［8］圆园员缘沿袁辕援猿元原源垣［5］院阮愿怨"
"k"	"［1］官棺观{参～、寺～}冠{衣～}鳏关［3］管滚馆"
"kʰ"	"［1］宽［3］款"
"h"	"［1］欢［8］还{归～}环桓［5］唤焕换幻患"
"Ø"	"［8］婉"
"#iŋ"	
"p"	"［1］宾槟冰兵斌彬濒滨［3］禀丙秉炳柄饼［5］殡鬓病并迸摈"
"pʰ"	"［8］贫频凭平坪评苹萍瓶屏［3］品［5］聘"
"m"	"［8］民鸣明皿名铭冥螟［3］闽悯敏抿［5］命"
"v"	"［3］稳"
"t"	"［1］丁钉盯叮［3］顶鼎［5］订锭定"
"tʰ"	"［1］听厅［8］亭停廷庭蜓［3］艇挺铤"
"n"	"［8］宁"
"l"	"［8］林淋临檩邻鳞燐磷陵凌菱绫凝灵零铃伶翎龄［3］岭领［5］赁吟吝令佞拎另"
"tsʰ"	"［8］陈沉臣尘忱"
"ʨ"	"［1］针斟津珍真晶精睛［3］寝枕诊疹拯井［5］浸进晋镇阵振震静靖净"
"ʨʰ"	"［1］清青蜻侵亲［8］潜寻秦情晴［3］擎请［5］沁趁慎磬"
"ɕ"	"［1］心深辛新薪身申伸星腥猩馨［3］沈审婶省醒［5］信讯肾衅性姓"
"k"	"［1］今金襟巾斤筋芹京荆惊鲸经［3］锦紧仅谨窘景警颈［5］禁劲近茎境敬竟镜竞劲径郡"
"kʰ"	"［1］钦卿轻［8］琴禽擒勤群裙琼［3］倾顷［5］庆"
"h"	"［1］欣兴{～旺}［8］行{品～}形型刑［5］兴{高～}杏幸"
"s"	"［8］辰晨"
"z"	"［1］音阴荫因咽姻殷应鹰蝇莺鹦樱英婴缨颖［8］人仁壬饮{～马}淫银寅尹迎赢莹营茔萤盈［3］饮{～酒}引蚓隐应{响～}影［5］任刃认韧印映"
"#un"	
"t"	"［5］盾遁"
"tʰ"	"［1］臀［8］"
"ts"	"［3］准"
"tsʰ"	
"s"	"［8］荀旬循巡殉纯醇［3］损［5］顺舜训逊驯"
"z"	"［8］云耘［3］允［5］润韵运孕"
"k"	"［1］均军君［3］滚［5］棍"
"kʰ"	"［1］昆坤［3］捆［5］困睏"
"h"	"［1］昏婚荤晕［8］魂馄浑［5］混"
"Ø"	"［1］温瘟"
"#yn"	
"ʨ"	"［1］钧［3］浚菌"
"ɕ"	"［1］熏勋［5］甚"
"k"	"［1］君"
"Ø"	"［1］匀［5］酝闰"
"#aŋ"	
"p"	"［1］班斑颁帮梆邦［3］扳板版榜绑［5］瓣办傍棒扮镑磅谤"
"pʰ"	"［1］攀潘［8］旁螃膀庞磅［5］盼叛胖"
"m"	"［8］蛮忙芒茫盲虻氓［3］莽蟒［5］慢馒漫幔蔓曼"
"f"	"［1］帆藩翻番方芳肪［8］凡烦繁矾钒坊妨访房防贩樊［3］反返仿纺［5］泛范饭放贩犯"
"v"	"［1］弯湾剜汪［8］玩完王皖豌亡［3］晚往挽网枉［5］万旺忘望"
"t"	"［1］耽担{承～}丹单当{应～}铛裆郸［8］疸［3］胆党挡掸［5］担{扁～}淡旦当{上～}档荡宕弹{子～}氮但惮诞蛋"
"tʰ"	"［1］贪坍滩摊瘫汤［8］潭谭坛谈痰檀坛弹堂棠螳唐糖塘弹{～簧}［3］毯坦倘躺趟帑［5］探炭叹烫"
"n"	"［8］难{困～}囊［5］难{患～}"
"l"	"［8］蓝篮兰拦栏郎廊狼螂榔［3］览揽榄缆懒朗［5］滥烂浪"
"ts"	"［1］簪錾毡张章樟赃脏{肮～}［8］绽［3］斩盏长掌［5］站蘸赞濽栈战涨帐账胀涨丈杖仗障瘴葬藏脏{心～}"
"tsʰ"	"［1］参{～加}搀蟾渗餐昌菖仓苍舱沧掺猖［8］惭谗馋残蝉禅{坐～}长肠蚕缠尝常偿［3］惨厂场铲产阐敞［5］忏颤畅唱倡灿"
"s"	"［1］三杉衫珊山删商伤桑裳磉嗓［3］陕伞赏晌［5］散疝禅{～让}上尚丧"
"z"	"［1］央秧殃鸯［8］嚷羊洋烊杨阳扬疡［3］壤攘仰养痒恙［5］让样"
"k"	"［1］甘柑泔尴肝干{～燥}竿杆艰间奸冈岗刚纲钢{～铁}缸肛［3］感敢橄擀赶简港秆［5］干{骨～}谏杠钢{～筋}赣"
"kʰ"	"［1］堪龛勘刊康糠夯［8］侃扛钳-［3］坎砍［5］看慷抗炕"
"h"	"［1］憨酣［3］喊［8］含函鼾寒韩闲行航杭［5］撼憾罕汉旱汗焊翰项巷"
"ŋ"	"［1］安［8］岩-颜［5］岸"
"Ø"	"［1］庵鹌鞍氨胺肮淹-［8］昂盎［5］暗按案晏［3］眼"
"#iaŋ"	
"n"	"［8］娘［5］酿［3］两俩"
"l"	"［8］凉良粮梁粱量{测～}［5］亮谅辆量{数～}晾"
"ʨ"	"［1］将{～来}浆桨［3］蒋奖［5］酱将{大～}匠"
"ʨʰ"	"［1］枪羌［8］墙藏［3］抢"
"ɕ"	"［1］相{～互}箱厢湘镶［8］降{投～}详祥翔［3］想［5］相{长～}象像橡"
"k"	"［1］疆僵礓缰姜江［3］讲［5］降{下～}"
"kʰ"	"［1］腔［8］强［5］□{漂亮}"
"h"	
"Ø"	"［8］瓤"
"#uaŋ"	
"ts"	"［1］庄装妆桩［5］壮状"
"tsʰ"	"［1］拴疮窗［8］床幢［3］闯［5］创"
"s"	"［1］霜孀双［3］爽"
"k"	"［1］观光胱［3］广［5］灌罐冠贯惯逛□{摔跤}"
"kʰ"	"［1］匡筐眶框［8］狂［5］旷扩况矿"
"h"	"［1］荒慌［8］缓黄簧皇蝗凰隍蟥［3］谎恍晃{～眼}［5］宦晃{～动}幌"
"Ø"	
"#əŋ"	
"p"	"［1］般搬奔锛绷［3］本苯［5］笨"
"pʰ"	"［1］烹［8］盆［5］喷"
"m"	"［1］们［8］门［5］闷"
"f"	"［1］分{划～}吩芬纷酚氛［8］焚坟汾［3］粉［5］粪奋愤忿份分{本～}"
"v"	"［8］文纹蚊闻吻［3］碗［5］问"
"t"	"［1］墩蹲登灯吨敦［3］等［5］凳邓瞪蹬顿钝沌"
"tʰ"	"［8］腾誊藤疼屯豚囤饨"
"n"	"［8］能"
"l"	"［1］扔［3］冷［8］仑沦轮［5］论楞嫩"
"ts"	"［1］正{～月}征尊遵肫曾{～姓}增罾僧甑征蒸争筝贞侦憎［3］整［5］俊骏赠证症郑正{～式}政"
"tsʰ"	"［1］称撑睁郴村［8］娠澄程曾{～经}存层承丞澄清橙呈成城诚乘唇岑［3］逞骋［5］忖寸秤蹭衬"
"s"	"［1］牲笙甥声森参{人～}孙升生［5］剩胜盛{旺～}圣［8］绳神［3］省笋榫"
"k"	"［1］更{～换}粳庚哽耕跟根羹［3］埂梗耿［5］更{～加}"
"kʰ"	"［1］坑［3］恳垦啃肯"
"h"	"［1］亨哼［8］痕恒衡横{～竖}［3］很［5］恨横{蛮～}"
"z"	"［1］仍腌"
"ŋ"	"［1］恩"
"Ø"	"［3］嗯［5］硬"
"#oŋ"	
"p"	"［1］崩［8］甭［5］泵蹦迸"
"pʰ"	"［8］彭膨棚篷［3］捧朋鹏［5］碰"
"m"	"［8］萌盟蒙懵蠓［3］猛［5］孟梦"
"f"	"［1］风枫疯丰封峰蜂锋烽［8］蓬冯逢缝{～补}［5］凤奉俸缝{裂～}讽"
"t"	"［1］东冬［3］董懂［5］冻栋动洞侗恫"
"tʰ"	"［1］通［8］同铜桐童瞳［3］桶捅筒统［5］痛"
"n"	"［8］农浓侬脓［5］弄［1］软-"
"l"	"［8］笼聋胧隆窿龙［3］拢陇垄"
"ts"	"［1］棕鬃宗综中{～间}忠衷终踪钟盅［3］总种{品～}肿准［5］粽仲众纵重{轻～}种{～植}揰"
"tsʰ"	"［1］聪匆葱囱冲充舂春［8］丛虫崇从重{～新}［3］宠［5］铳"
"s"	"［1］松［3］耸怂［5］送宋诵颂"
"z"	"［1］庸拥佣［8］荣戎绒融茸容蓉镕溶榕熔［3］永咏泳勇涌恿踊冗［5］用"
"k"	"［1］公蚣工功攻弓躬宫恭龚［3］拱汞［5］贡供共"
"kʰ"	"［1］空{天～}［8］巩［3］孔恐［5］控空{有～}"
"h"	"［1］轰烘［8］虹弘宏红洪鸿 ［5］哄"
"Ø"	"［1］翁瓮"
"#ioŋ"	
"ɕ"	"［1］兄匈凶"
"kʰ"	"［8］穷"
"h"	"［1］胸［8］熊雄"
"Ø"	"［1］壅臃雍"
