#調值	[1]213 [2]42 [3]55 [5]21		
1	ɚ	陽平42	而, 兒
2	ɚ	上聲55	耳, 餌, 理, 爾
3	ɚ	去聲21	貳, 二
4	i	陰平213	揖, 乙, 衣, 依, 一, 抑, 醫, 譯, 驛, 伊
5	i	陽平42	遺, 疑, 飴, 肄, 姨, 倪, 異, 沂, 夷, 逸, 誼, 怡, 宜, 屹, 貽, 儀, 頤, 胰, 彝, 移, 懿
6	i	上聲55	擬, 已, 矣, 以, 椅, 亦, 尾, 倚, 蟻
7	i	去聲21	醫, 溢, 癔, 邑, 詣, 意, 毅, 臆, 藝, 役, 翼, 億, 易, 議, 宜, 逆, 義, 憶, 益, 囈, 縊, 疫
8	u	陰平213	誣, 塢, 巫, 侮, 屋, 汚, 烏, 兀
9	u	陽平42	蕪, 無, 蜈, 吳
10	u	上聲55	午, 五, 戊, 吾, 梧, 伍, 舞, 捂, 忤, 鵡
11	u	去聲21	勿, 惡, 霧, 物, 悟, 誤, 塢, 務, 痦
12	y	陰平213	域, 淤, 吁, 愚
13	y	陽平42	俞, 余, 于, 輿, 漁, 榆, 虞, 盂, 魚, 餘
14	y	上聲55	雨, 熨, 語, 禹, 羽, 宇
15	y	去聲21	浴, 慾, 育, 御, 豫, 裕, 鈺, 愉, 愈, 預, 欲, 喻, 於, 與, 獄, 馭, 予, 玉, 娛, 迂, 禦, 郁, 寓, 譽, 遇
16	a	陰平213	阿
17	ia	陰平213	鴉, 亞, 丫, 押, 椏, 鴨, 壓
18	ia	陽平42	牙, 芽, 衙, 呀, 蚜
19	ia	上聲55	雅, 訝, 啞
20	ia	去聲21	壓, 軋
21	ia	輕聲	夜
22	iə	陰平213	咽, 謁, 腋, 噎, 掖, 冶, 液
23	iə	陽平42	爺, 耶
24	iə	上聲55	揶, 也, 野
25	iə	去聲21	葉, 頁, 額, 業, 掖, 夜
26	yə	陰平213	約
27	yə	上聲55	抈, 噦
28	yə	去聲21	虐, 樂, 瘧, 岳, 曰, 嶽, 越, 月, 鑰, 粤, 悅, 閱, 藥
29	ɛ	陰平213	哎, 唉
30	iɛ	陰平213	挨
31	iɛ	陽平42	挨, 崖, 涯
32	iɛ	上聲55	矮
33	iɔ	陰平213	凹, 夭, 邀, 妖, 么, 要, 約, 腰
34	iɔ	陽平42	窰, 腰, 遙, 搖, 堯, 謠, 淆, 姚, 肴
35	iɔ	上聲55	舀, 咬
36	iɔ	去聲21	耀, 躍, 要, 藥, 鑰, 靿
37	iou	陰平213	幽, 優, 郵, 悠, 憂
38	iou	陽平42	油, 游, 蚰, 由, 猶, 尤, 牛
39	iou	上聲55	友, 酉, 有
40	iou	去聲21	祐, 鼬, 幼, 誘, 又, 右, 釉, 柚
41	iou	輕聲	唷
42	iã	陰平213	閹, 淹, 煙, 焉, 腌
43	iã	陽平42	研, 芫, 沿, 緣, 簷, 炎, 言, 巖, 閻, 鹽, 嚴, 顔, 延
44	iã	上聲55	兗, 演, 眼, 衍, 掩
45	iã	去聲21	嚥, 驗, 宴, 豔, 厭, 燕, 諺, 雁, 晏, 硯, 堰, 釅
46	yã	陰平213	冤, 淵, 鴛
