tsɿ	1	资姿咨兹滋孳淄缁锱辎鲻(~鱼)龇(露牙:~牙齿)孜吱支枝肢知蜘脂(~油)之芝栀(~子花)疻(~水)
tsɿ	3	紫子梓滓(渣~)籽纸旨指止趾(脚~头)址
tsɿ	5	䆅姊(~妹)制智至致置志痣帜挚翅(~膀)□(引诱:你~我上当)
tsɿ	0	仔(相当于“了”)
tsʰɿ	1	雌差(參~不齐)眵(眼~)痴嗤㿳跐㷰(火~)黐(粘)
tsʰɿ	3	此侈耻齿
tsʰɿ	5	刺赐次疵(吹毛求~)伺(~候)
dzɿ	2a	慈磁池驰迟持弛
dzɿ	6	滞(~销)治痔峙
sɿ	1	斯撕厮私司丝思䲉(䱀~)蛳(螺~)施师狮尸诗史驶
sɿ	3	死屎始使1
sɿ	5	四肆泗驷世势试使2
zɿ	2a	瓷辞词祠饲垐(~实)牸(~牛，下~)迟(又音)茨(~菇)嗣(承~,过继)匙(~时)鲥
zɿ	6	自字似巳祀寺渍(~脚)誓(赌咒发~)逝是氏稚示视嗜士仕市柿事恃侍剚(碎割)莳(~稻)
pi	1	屄(女阴)
pi	3	彼俾鄙(卑~)比妣(考~)
pi	5	闭臂祕(~密)秘泌(便~)毖(惩前~后)痹(麻~)
pʰi	1	批披砒(~霜)𠜱
pʰi	3	𠜱(又音)庇(包~)
pʰi	5	屁譬(~如)媲(~美)
bi	2a	皮疲啤脾琵(~琶)纰(~漏)肥-(~皂)□(称物时称尾低)比(量词.层次)
bi	4	皮(车轮打滑,破读)坒(堆叠)鐾(刀~~快)
bi	6	陛鐾(又音)被婢避备蔽敝币毙篦(~䇫)鄙2(~人)痹(又音.麻~)
mi	1	眯(~细眼)渳(~-口酒)寐(小睡)咪(甜~~)
mi	3	米
mi	2b	迷糜靡弥眉楣嵋谜媚
mi	6	尾-(~巴)味-(~道)
fi	1	非妃飞绯(~红)扉(芦)菲霏啡(咖~)
fi	3	匪诽
fi	5	废肺费(~用)
vi	2a	维惟唯肥=(~料)微1(~小)
vi	4	尾1=(~子,即尾数)
vi	6	尾2未味=费(姓)
ti	1	低
ti	3	底抵砥柢
ti	5	帝蒂谛渧(~水)滴(一~水)
tʰi	1	梯
tʰi	3	体
tʰi	5	替涕剃屉嚏□(和面时水掺多了,太黏糊，面忒~)
di	2a	堤题提缔蹄啼□(量词.粒:几~寒豆)
di	6	弟第递地棣
li	1	□(提)
li	3	礼李理鳀里(几~:~外)
li	2b	犁黎离篱璃梨厘狸蜊
li	6	例厉励丽隶利痢泪荔吏莅𭳬(拿水~~干)
tɕi	1	鸡稽几(茶~)肌饥机讥叽(~~咕咕)基奇(~数)姫箕(畚~)羁乩(扶~)䇫(篦~;~头)齑(~花)
tɕi	3	挤己几(~个，~柜)䍤(拧)
tɕi	5	祭际穄(蘆~)济计继寄冀纪记既季虮(~虱)左期1(~過)繫系(~扣;秤杆上的零件)
tɕʰi	1	妾棲溪欺凄𥉻(~眼,近双眼)
tɕʰi	3	启企起岂杞
tɕʰi	5	契(紅~,田~)器弃气汽去-砌=
ʥi	2a	奇骑崎岐祁祈其棋期2旗祺琪麒及1(不~他,来不~)
ʥi	6	技妓忌(~嘴)
ȵi	3	拟你
ȵi	2b	尼泥昵疑宜-(適~)倪蚭(~ma44蟲)抳(擦)
ȵi	6	谊义议仪蚁艺毅腻(著~)瞖(眼不明:眼睛~)妮(內~)
ɕi	1	西牺犀嬉(玩耍,戲~)熙希稀粞(米~)𨵎(微露缝：~缝)□(撒：~草)圾(垃~)
ɕi	3	洗玺喜嬉(蜘蛛:~~徙)
ɕi	5	细系戏□(液体沿着器壁或縫隙慢慢向上移动)
ʑi	2a	齐(~整)脐(~帶)荠(茡~)
ʑi	4	齐(动词,使之整齐、拿紙头~~好,破读)
i	1	医衣依翳伊奚(姓)
i	2a	移夷姨沂遗兮怡贻饴爷(灶家老~)
i	3	椅已矣以勚(器物磨損)
i	5	意忆亿肄懿
i	6	易系繫(系在桶或篮子上的绳索)异(~香袋)
pu	3	补
pu	5	布怖
pʰu	1	铺1(~张)潽(液体沸腾溢出)秿(稻~子)
pʰu	3	普谱甫浦脯
pʰu	5	铺2(~板)
bu	2a	蒲菩葡婆(新，阿~，祖母)
bu	4	□(坍塌)
bu	6	步捕埠部簿伏孵(~小鸡:蹲伏:~下来)□(蹲:~绣房)
fu	1	夫肤敷俘麸乎呼孵衭(大~头)
fu	3	虎1浒府腑辅副(量词:一~牌)□(抛撒)
fu	5	斧付赋傅赴讣富咐副(正~.~职)虎2(~起脸,破读)□(用牙齿瓣去芦粟等皮儿)
vu	2a	符扶无芜巫诬浮-胡湖狐葫糊蝴餬(~张嘴)
vu	4	舞武□(木匠打眼的动作:~钻,打眼的工具)
vu	6	抚父腐附妇负侮釜(~圈，锅盏)
tu	1	都
tu	3	堵赌肚1(鱼~)
tu	5	妒蠹赌(因赌气而脸色难看:你批评他,他脸一~.破读)
tʰu	3	土吐1(~痰)
tʰu	5	免吐2(上~下泻)唾(~沫)
du	2a	徒屠途涂图茶
du	4	肚2(担~,怀孕;伸腰扭~.伸懒腰)
du	6	肚3(~肠)杜度1(长~)渡镀
lu	3	鲁橹虏卤
lu	2b	卢炉1芦鸬庐鲈颅泸攎(收聚:用手~)
lu	6	路露鹭赂
tsu	1	租猪诸朱蛛株诛珠硃□(凸起:~出来-块)
tsu	3	祖组阻诅煮主疰(~夏)
