正體	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	备注
興	ɕiŋ	˨˩	ɕiŋ˨˩	21	1	
杏	ɕiŋ	˧	ɕiŋ˧	33	6	
幸	ɕiŋ	˧	ɕiŋ˧	33	6	
倖	ɕiŋ	˧	ɕiŋ˧	33	6	
省	ɕiŋ	˧˨˨	ɕiŋ˧˨˨	322	3	
醒	ɕiŋ	˧˨˨	ɕiŋ˧˨˨	322	3	
宿	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
秀	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
嗅	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
銹	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
繡	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
鏽	ɕiʊ	˦˥	ɕiʊ˦˥	45	5	
休	ɕiʊ	˨˩	ɕiʊ˨˩	21	1	
修	ɕiʊ	˨˩	ɕiʊ˨˩	21	1	
脩	ɕiʊ	˨˩	ɕiʊ˨˩	21	1	
羞	ɕiʊ	˨˩	ɕiʊ˨˩	21	1	
朽	ɕiʊ	˧˨˨	ɕiʊ˧˨˨	322	3	
楦	ɕiʊ̃ᵘ̃	˦˥	ɕiʊ̃ᵘ̃˦˥	45	5	
玄	ɕiʊ̃ᵘ̃	˨˦	ɕiʊ̃ᵘ̃˨˦	24	2	
懸	ɕiʊ̃ᵘ̃	˨˦	ɕiʊ̃ᵘ̃˨˦	24	2	
軒	ɕiʊ̃ᵘ̃	˨˩	ɕiʊ̃ᵘ̃˨˩	21	1	
喧	ɕiʊ̃ᵘ̃	˨˩	ɕiʊ̃ᵘ̃˨˩	21	1	
血	ɕiʊʔ	˦˥	ɕiʊʔ˦˥	45	7	
穴	ɕiʊʔ	˧	ɕiʊʔ˧	33	8	
歇	ɕiʔ	˦˥	ɕiʔ˦˥	45	7	
蠍	ɕiʔ	˦˥	ɕiʔ˦˥	45	7	
脅	ɕiʔ	˦˥	ɕiʔ˦˥	45	7	
泄	ɕiʔ	˦˥	ɕiʔ˦˥	45	7	
糏	ɕiʔ	˦˥	ɕiʔ˦˥	45	7	麪粉
協	ɕiʔ	˧	ɕiʔ˧	33	8	
挾	ɕiʔ	˧	ɕiʔ˧	33	8	
𢪎	ɕyɑ	˨˩	ɕyɑ˨˩	21	1	毆打
靴	ɕyɑ	˨˩	ɕyɑ˨˩	21	1	
率	ɕyəʔ	˦˥	ɕyəʔ˦˥	45	7	
蟀	ɕyəʔ	˦˥	ɕyəʔ˦˥	45	7	蟋～
戌	ɕyəʔ	˦˥	ɕyəʔ˦˥	45	7	
恤	ɕyəʔ	˦˥	ɕyəʔ˦˥	45	7	
渲	ɕyĩ	˦˥	ɕyĩ˦˥	45	5	
旋	ɕyĩ	˨˦	ɕyĩ˨˦	24	2	
漩	ɕyĩ	˨˦	ɕyĩ˨˦	24	2	
鮮	ɕyĩ	˨˩	ɕyĩ˨˩	21	1	～甜
宣	ɕyĩ	˨˩	ɕyĩ˨˩	21	1	
揎	ɕyĩ	˨˩	ɕyĩ˨˩	21	1	
旋	ɕyĩ	˧	ɕyĩ˧	33	6	
選	ɕyĩ	˧˨˨	ɕyĩ˧˨˨	322	3	
癬	ɕyĩ	˧˨˨	ɕyĩ˧˨˨	322	3	
屑	ɕyiʔ	˦˥	ɕyiʔ˦˥	45	7	碎屑，灰塵
薛	ɕyiʔ	˦˥	ɕyiʔ˦˥	45	7	
雪	ɕyiʔ	˦˥	ɕyiʔ˦˥	45	7	
碎	ɕyᶨ	˦˥	ɕyᶨ˦˥	45	5	白讀
歲	ɕyᶨ	˦˥	ɕyᶨ˦˥	45	5	白讀
絮	ɕyᶨ	˦˥	ɕyᶨ˦˥	45	5	
緒	ɕyᶨ	˦˥	ɕyᶨ˦˥	45	5	文讀
婿	ɕyᶨ	˦˥	ɕyᶨ˦˥	45	5	
尿	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	白讀
荽	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
虛	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
須	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
需	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
噓	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
鬚	ɕyᶨ	˨˩	ɕyᶨ˨˩	21	1	
序	ɕyᶨ	˧	ɕyᶨ˧	33	6	
許	ɕyᶨ	˧˨˨	ɕyᶨ˧˨˨	322	3	
滸	ɕyᶨ	˧˨˨	ɕyᶨ˧˨˨	322	3	地名，～澪
迅	ɕyŋ	˦˥	ɕyŋ˦˥	45	5	
訓	ɕyŋ	˦˥	ɕyŋ˦˥	45	5	
馴	ɕyŋ	˦˥	ɕyŋ˦˥	45	5	
旬	ɕyŋ	˨˦	ɕyŋ˨˦	24	2	
巡	ɕyŋ	˨˦	ɕyŋ˨˦	24	2	
循	ɕyŋ	˨˦	ɕyŋ˨˦	24	2	
詢	ɕyŋ	˨˦	ɕyŋ˨˦	24	2	
熏	ɕyŋ	˨˩	ɕyŋ˨˩	21	1	
勳	ɕyŋ	˨˩	ɕyŋ˨˩	21	1	
燻	ɕyŋ	˨˩	ɕyŋ˨˩	21	1	
髓	ɕyŋ	˧˨˨	ɕyŋ˧˨˨	322	3	又音
筍	ɕyŋ	˧˨˨	ɕyŋ˧˨˨	322	3	
榫	ɕyŋ	˧˨˨	ɕyŋ˧˨˨	322	3	
而	ɚ	˨˦	ɚ˨˦	24	2	
兒	ɚ	˨˦	ɚ˨˦	24	2	
二	ɚ	˧	ɚ˧	33	6	
貳	ɚ	˧	ɚ˧	33	6	
耳	ɚ	˧˨˨	ɚ˧˨˨	322	3	
爾	ɚ	˧˨˨	ɚ˧˨˨	322	3	
餌	ɚ	˧˨˨	ɚ˧˨˨	322	3	
嗯	əŋ		əŋ	0	0	語氣詞
呃	əʔ	˦˥	əʔ˦˥	45	7	
唉	ɛ	˨˩	ɛ˨˩	21	1	
放	fæ̃	˦˥	fæ̃˦˥	45	5	
防	fæ̃	˨˦	fæ̃˨˦	24	2	
妨	fæ̃	˨˦	fæ̃˨˦	24	2	
肪	fæ̃	˨˦	fæ̃˨˦	24	2	
房	fæ̃	˨˦	fæ̃˨˦	24	2	
方	fæ̃	˨˩	fæ̃˨˩	21	1	
坊	fæ̃	˨˩	fæ̃˨˩	21	1	
芳	fæ̃	˨˩	fæ̃˨˩	21	1	
仿	fæ̃	˧˨˨	fæ̃˧˨˨	322	3	
紡	fæ̃	˧˨˨	fæ̃˧˨˨	322	3	
訪	fæ̃	˧˨˨	fæ̃˧˨˨	322	3	
縛	fæʔ	˦˥	fæʔ˦˥	45	7	
峰	fɔŋ	˨˦	fɔŋ˨˦	24	2	白讀
蜂	fɔŋ	˨˦	fɔŋ˨˦	24	2	白讀
鋒	fɔŋ	˨˦	fɔŋ˨˦	24	2	白讀
逢	fɔŋ	˨˦	fɔŋ˨˦	24	2	
馮	fɔŋ	˨˦	fɔŋ˨˦	24	2	
縫	fɔŋ	˨˦	fɔŋ˨˦	24	2	
丰	fɔŋ	˨˩	fɔŋ˨˩	21	1	
封	fɔŋ	˨˩	fɔŋ˨˩	21	1	
風	fɔŋ	˨˩	fɔŋ˨˩	21	1	
峰	fɔŋ	˨˩	fɔŋ˨˩	21	1	文讀
楓	fɔŋ	˨˩	fɔŋ˨˩	21	1	
蜂	fɔŋ	˨˩	fɔŋ˨˩	21	1	文讀
瘋	fɔŋ	˨˩	fɔŋ˨˩	21	1	
鋒	fɔŋ	˨˩	fɔŋ˨˩	21	1	文讀
豐	fɔŋ	˨˩	fɔŋ˨˩	21	1	
縫	fɔŋ	˧	fɔŋ˧	33	6	
奉	fɔŋ	˧	fɔŋ˧	33	6	
俸	fɔŋ	˧	fɔŋ˧	33	6	
鳳	fɔŋ	˧	fɔŋ˧	33	6	
諷	fɔŋ	˧˨˨	fɔŋ˧˨˨	322	3	
幅	fɔʔ	˦˥	fɔʔ˦˥	45	7	
福	fɔʔ	˦˥	fɔʔ˦˥	45	7	
蝠	fɔʔ	˦˥	fɔʔ˦˥	45	7	
輻	fɔʔ	˦˥	fɔʔ˦˥	45	7	
復	fɔʔ	˦˥	fɔʔ˦˥	45	7	
腹	fɔʔ	˦˥	fɔʔ˦˥	45	7	
複	fɔʔ	˦˥	fɔʔ˦˥	45	7	
蝮	fɔʔ	˦˥	fɔʔ˦˥	45	7	
覆	fɔʔ	˦˥	fɔʔ˦˥	45	7	
伏	fɔʔ	˧	fɔʔ˧	33	8	
服	fɔʔ	˧	fɔʔ˧	33	8	
袱	fɔʔ	˧	fɔʔ˧	33	8	
廢	fəɪ	˦˥	fəɪ˦˥	45	5	
肺	fəɪ	˦˥	fəɪ˦˥	45	5	
沸	fəɪ	˦˥	fəɪ˦˥	45	5	
費	fəɪ	˦˥	fəɪ˦˥	45	5	
肥	fəɪ	˨˦	fəɪ˨˦	24	2	
妃	fəɪ	˨˩	fəɪ˨˩	21	1	
非	fəɪ	˨˩	fəɪ˨˩	21	1	
飛	fəɪ	˨˩	fəɪ˨˩	21	1	
啡	fəɪ	˨˩	fəɪ˨˩	21	1	
吠	fəɪ	˧	fəɪ˧	33	6	
匪	fəɪ	˧˨˨	fəɪ˧˨˨	322	3	
翡	fəɪ	˧˨˨	fəɪ˧˨˨	322	3	
誹	fəɪ	˧˨˨	fəɪ˧˨˨	322	3	
否	fəɪ	˧˨˨	fəɪ˧˨˨	322	3	
畚	fəŋ	˦˥	fəŋ˦˥	45	5	～箕
奮	fəŋ	˦˥	fəŋ˦˥	45	5	
糞	fəŋ	˦˥	fəŋ˦˥	45	5	
焚	fəŋ	˨˦	fəŋ˨˦	24	2	
墳	fəŋ	˨˦	fəŋ˨˦	24	2	
分	fəŋ	˨˩	fəŋ˨˩	21	1	
芬	fəŋ	˨˩	fəŋ˨˩	21	1	
吩	fəŋ	˨˩	fəŋ˨˩	21	1	
氛	fəŋ	˨˩	fəŋ˨˩	21	1	
紛	fəŋ	˨˩	fəŋ˨˩	21	1	
分	fəŋ	˧	fəŋ˧	33	6	
份	fəŋ	˧	fəŋ˧	33	6	
憤	fəŋ	˧	fəŋ˧	33	6	
粉	fəŋ	˧˨˨	fəŋ˧˨˨	322	3	
弗	fəʔ	˦˥	fəʔ˦˥	45	7	
佛	fəʔ	˦˥	fəʔ˦˥	45	7	
拂	fəʔ	˦˥	fəʔ˦˥	45	7	
佛	fəʔ	˧	fəʔ˧	33	8	
氾	fẽ	˦˥	fẽ˦˥	45	5	
泛	fẽ	˦˥	fẽ˦˥	45	5	
販	fẽ	˦˥	fẽ˦˥	45	5	
凡	fẽ	˨˦	fẽ˨˦	24	2	
煩	fẽ	˨˦	fẽ˨˦	24	2	
繁	fẽ	˨˦	fẽ˨˦	24	2	
礬	fẽ	˨˦	fẽ˨˦	24	2	
番	fẽ	˨˩	fẽ˨˩	21	1	
蕃	fẽ	˨˩	fẽ˨˩	21	1	
幡	fẽ	˨˩	fẽ˨˩	21	1	
翻	fẽ	˨˩	fẽ˨˩	21	1	
繙	fẽ	˨˩	fẽ˨˩	21	1	
犯	fẽ	˧	fẽ˧	33	6	
飯	fẽ	˧	fẽ˧	33	6	
範	fẽ	˧	fẽ˧	33	6	
反	fẽ	˧˨˨	fẽ˧˨˨	322	3	
返	fẽ	˧˨˨	fẽ˧˨˨	322	3	
發	feʔ	˦˥	feʔ˦˥	45	7	
法	feʔ	˦˥	feʔ˦˥	45	7	
髮	feʔ	˦˥	feʔ˦˥	45	7	
乏	feʔ	˧	feʔ˧	33	8	
伐	feʔ	˧	feʔ˧	33	8	
筏	feʔ	˧	feʔ˧	33	8	
閥	feʔ	˧	feʔ˧	33	8	
罰	feʔ	˧	feʔ˧	33	8	
付	fʋ	˦˥	fʋ˦˥	45	5	
咐	fʋ	˦˥	fʋ˦˥	45	5	
赴	fʋ	˦˥	fʋ˦˥	45	5	
負	fʋ	˦˥	fʋ˦˥	45	5	
副	fʋ	˦˥	fʋ˦˥	45	5	
傅	fʋ	˦˥	fʋ˦˥	45	5	
富	fʋ	˦˥	fʋ˦˥	45	5	
賦	fʋ	˦˥	fʋ˦˥	45	5	
扶	fʋ	˨˦	fʋ˨˦	24	2	
芙	fʋ	˨˦	fʋ˨˦	24	2	
浮	fʋ	˨˦	fʋ˨˦	24	2	
符	fʋ	˨˦	fʋ˨˦	24	2	
巫	fʋ	˨˦	fʋ˨˦	24	2	
誣	fʋ	˨˦	fʋ˨˦	24	2	
夫	fʋ	˨˩	fʋ˨˩	21	1	
麩	fʋ	˨˩	fʋ˨˩	21	1	
敷	fʋ	˨˩	fʋ˨˩	21	1	
膚	fʋ	˨˩	fʋ˨˩	21	1	
父	fʋ	˧	fʋ˧	33	6	
附	fʋ	˧	fʋ˧	33	6	
婦	fʋ	˧	fʋ˧	33	6	
斧	fʋ	˧˨˨	fʋ˧˨˨	322	3	
府	fʋ	˧˨˨	fʋ˧˨˨	322	3	
俯	fʋ	˧˨˨	fʋ˧˨˨	322	3	
腐	fʋ	˧˨˨	fʋ˧˨˨	322	3	
撫	fʋ	˧˨˨	fʋ˧˨˨	322	3	
宴	ĩ	˦˥	ĩ˦˥	45	5	
堰	ĩ	˦˥	ĩ˦˥	45	5	
焰	ĩ	˦˥	ĩ˦˥	45	5	
厭	ĩ	˦˥	ĩ˦˥	45	5	
燕	ĩ	˦˥	ĩ˦˥	45	5	
䞁	ĩ	˦˥	ĩ˦˥	45	5	比較
諺	ĩ	˦˥	ĩ˦˥	45	5	
艷	ĩ	˦˥	ĩ˦˥	45	5	
延	ĩ	˨˦	ĩ˨˦	24	2	
芫	ĩ	˨˦	ĩ˨˦	24	2	
言	ĩ	˨˦	ĩ˨˦	24	2	
妍	ĩ	˨˦	ĩ˨˦	24	2	
炎	ĩ	˨˦	ĩ˨˦	24	2	
沿	ĩ	˨˦	ĩ˨˦	24	2	
研	ĩ	˨˦	ĩ˨˦	24	2	
筵	ĩ	˨˦	ĩ˨˦	24	2	
閻	ĩ	˨˦	ĩ˨˦	24	2	
檐	ĩ	˨˦	ĩ˨˦	24	2	
嚴	ĩ	˨˦	ĩ˨˦	24	2	
鹽	ĩ	˨˦	ĩ˨˦	24	2	
菸	ĩ	˨˩	ĩ˨˩	21	1	
腌	ĩ	˨˩	ĩ˨˩	21	1	
煙	ĩ	˨˩	ĩ˨˩	21	1	
咽	ĩ	˨˩	ĩ˨˩	21	1	
驗	ĩ	˧	ĩ˧	33	6	
掩	ĩ	˧˨˨	ĩ˧˨˨	322	3	
演	ĩ	˧˨˨	ĩ˧˨˨	322	3	
縯	ĩ	˧˨˨	ĩ˧˨˨	322	3	
羊	iæ̃	˨˦	iæ̃˨˦	24	2	
亞	iɑ	˦˥	iɑ˦˥	45	5	
衙	iɑ	˨˦	iɑ˨˦	24	2	
涯	iɑ	˨˦	iɑ˨˦	24	2	
爺	iɑ	˨˦	iɑ˨˦	24	2	父親
呀	iɑ	˨˩	iɑ˨˩	21	1	
椰	iɑ	˨˩	iɑ˨˩	21	1	
耶	iɑ	˨˩	iɑ˨˩	21	1	
訝	iɑ	˧	iɑ˧	33	6	
夜	iɑ	˧	iɑ˧	33	6	
雅	iɑ	˧˨˨	iɑ˧˨˨	322	3	
也	iɑ	˧˨˨	iɑ˧˨˨	322	3	
冶	iɑ	˧˨˨	iɑ˧˨˨	322	3	白讀
野	iɑ	˧˨˨	iɑ˧˨˨	322	3	
液	iɛ	˦˥	iɛ˦˥	45	5	文讀
爺	iɛ	˨˦	iɛ˦˥	24	2	文讀
冶	iɛ	˧˨˨	iɛ˧˨˨	322	3	文讀
䬬	iæ̃	˦˥	iæ̃˦˥	45	5	膩
洋	iæ̃	˨˦	iæ̃˨˦	24	2	
陽	iæ̃	˨˦	iæ̃˨˦	24	2	
揚	iæ̃	˨˦	iæ̃˨˦	24	2	
楊	iæ̃	˨˦	iæ̃˨˦	24	2	
瘍	iæ̃	˨˦	iæ̃˨˦	24	2	
颺	iæ̃	˨˦	iæ̃˨˦	24	2	
央	iæ̃	˨˩	iæ̃˨˩	21	1	
殃	iæ̃	˨˩	iæ̃˨˩	21	1	
秧	iæ̃	˨˩	iæ̃˨˩	21	1	
鴦	iæ̃	˨˩	iæ̃˨˩	21	1	
烊	iæ̃	˧	iæ̃˧	33	6	打～
漾	iæ̃	˧	iæ̃˧	33	6	
樣	iæ̃	˧	iæ̃˧	33	6	
仰	iæ̃	˧˨˨	iæ̃˧˨˨	322	3	文讀
氧	iæ̃	˧˨˨	iæ̃˧˨˨	322	3	
養	iæ̃	˧˨˨	iæ̃˧˨˨	322	3	
癢	iæ̃	˧˨˨	iæ̃˧˨˨	322	3	
約	iæʔ	˦˥	iæʔ˦˥	45	7	
藥	iæʔ	˧	iæʔ˧	33	8	
鑰	iæʔ	˧	iæʔ˧	33	8	
樂	iæʔ	˧	iæʔ˧	33	8	
喲	iæʔ		iæʔ	0	0	
要	iɒ	˦˥	iɒ˦˥	45	5	
