音標	調類	調值	
ʦɿ	1	44	資姿咨滋輜
ʦɿ	3	324	紫姊子梓滓仔₁籽
ʦɿ	5	45	自(文)字(文)塒祀巳
ʦɿ	7	42	□₁（塞）
ʦʰɿ	1	44	差(參～)疵玼
ʦʰɿ	2	13	茲辭糍詞祠雌慈磁瓷
ʦʰɿ	3	324	此
ʦʰɿ	4	21	□(擦、蹭)寺(白1，地名，～橋壩，在今金井鎮王梓園村)
ʦʰɿ	5	45	次刺賜伺
ʦʰɿ	6	22	字(白)自(白)寺(白2)侍(白，服～)
sɿ	1	44	師獅螄斯撕廝私思₁絲蘇₁(紫～)
sɿ	3	324	死
sɿ	5	45	四肆似嗣飼侍(文)士(文)仕思₂俟汜
sɿ	6	22	事士(白)寺(文)
tʂʅ	1	44	知支枝₁肢梔脂芝之
tʂʅ	3	324	紙旨指脂止趾址殖值(文)置₁
tʂʅ	5	45	制智至致治志痣炙(文)置₂窒蟄（驚～）
tʂʅ	7	42	蜘只(～有)織執汁質職直(文)汁殖(白)蛭隻(文)櫛
tʂʰʅ	1	44	癡璃蚩鴟雉
tʂʰʅ	2	13	遲馳池弛持
tʂʰʅ	3	324	齒恥侈秩
tʂʰʅ	4	21	□（滑倒）
tʂʰʅ	5	45	翅滯痔稚
tʂʰʅ	7	42	直（白）值（白）斥侄₂齒（文）
ʂʅ	1	44	詩施屍豉
ʂʅ	2	13	時鰣
ʂʅ	3	324	使（白）使史屎駛始
ʂʅ	4	21	是
ʂʅ	5	45	試式嗜氏示視勢世誓
ʂʅ	6	22	市柿
ʂʅ	7	42	十什拾失（文）室實食蝕識飾釋石（文）使（文）
pi	3	324	彼比碧（文）壁（文1）璧（文）
pi	5	45	潷
pi	7	42	筆必碧（白）逼壁（文2）璧（白）
pʰi	1	44	批㓟披
pʰi	2	13	皮琵疲枇郫
pʰi	3	324	鄙庇弼（文）否痞
pʰi	5	45	屁
pʰi	7	42	匹僻辟霹弼（白）
mi	1	44	䊳
mi	4	21	米
mi	5	45	尾（白）
mi	7	42	密蜜覓泌篾㩢
ti	1	44	爹（文）低
ti	3	324	底抵滴（文）
ti	5	45	地（文）弟（文）第（文）帝締蒂
ti	7	42	敵嫡狄的笛
tʰi	1	44	梯
tʰi	2	13	隄題啼蹄
tʰi	3	324	體（白）□（剔除）
tʰi	5	45	替剃涕屜悌隸逮棣
tʰi	6	22	地（白）弟（白）第（白）裏₂
tʰi	7	42	剔粒（白）踢（文）
li	2	13	黎犁梨籬離璃驢₁擂（白）
li	4	21	裏₁鯉李呂履旅理禮里
li	5	45	麗厲勵痢粒（文）吏荔利（文）痢（文）淚（白）哩栗裏₂（地名用，如：橋～，在高橋鎮；寨～，在雙江社區）
li	6	22	利（白）痢（白）裏₃
li	7	42	力律𢯰（去掉渣汁：把米湯～出來）率₁曆立
tɕi	1	44	雞幾幾₁稽饑肌機姬基屐羈箕枝₂□（用尖子戳）
tɕi	3	324	己紀₁幾₂擠嘴
tɕi	5	45	記聚（文）濟臍祭唧₁忌既寄計繼系醉
