#漢字	音標	解釋
一	i1	
七	tɕʰi1	
万	uan5	
三	san1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
業	iɛ5	
東	tuŋ1	
絲	sɿ1	
丟	tiou1	
兩	liaŋ3	
嚴	ian2	
个	kɤ5	
中	tsuŋ1	
丰	fəŋ1	
主	tsu3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiou3	
習	ɕi2	
書	ʂu1	
買	mai3	
亂	lan5	又
亂	luan5	又
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
虧	kʰuei1	
雲	yn2	
五	u3	
井	tɕiŋ3	
交	tɕiau1	
產	tʂʰan3	
亮	liaŋ5	
親	tɕʰin1	
人	in2	白
人	ʐən2	文
倉	tsʰaŋ1	
付	fu5	
件	tɕian5	
任	in5	白
任	ʐən5	文
休	ɕiou1	
優	iou1	
會	xuei5	
傘	san3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fɤ2	
作	tsuɤ1	~人
作	tsuɤ5	~业
使	ʂʅ3	
侄	tʂʅ2	
側	tsai1	~歪
側	tsʰɤ5	~面
便	pian5	
俊	tsuən5	白
俊	tɕyn5	文
修	ɕiou1	
借	tɕiɛ5	
假	tɕia3	
做	tsou5	又
做	tsuɤ5	又
停	tʰiŋ2	
健	tɕian5	
偸	tʰou1	
像	ɕiaŋ5	
僧	səŋ1	
兒	ɚ2	
兄	ɕyŋ1	
充	tsʰuŋ1	
先	ɕian1	
光	kuaŋ1	
黨	taŋ3	
入	ʐu5	
全	tɕʰyan2	
八	pa1	
公	kuŋ1	
六	liou5	
蘭	lan2	
共	kuŋ5	
關	kuan1	
興	ɕiŋ5	
兵	piŋ1	
典	tian3	
寫	ɕiɛ3	
軍	tɕyn1	
冤	yan1	
冬	tuŋ1	
冰	piŋ1	
冲	tsʰuŋ1	~水
冲	tsʰuŋ5	~我来
決	tɕyɛ2	
冷	ləŋ3	
凍	tuŋ5	
準	tsuən3	
減	tɕian3	
湊	tsʰou5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	tau1	
分	fən1	
切	tɕʰiɛ1	
划	xua5	
列	liɛ5	
初	tsʰu1	
判	pʰan5	
別	piɛ2	
刮	kua3	又
刮	kua1	又
制	tʂʅ5	
刷	ʂua1	
刺	tsʰɿ5	
刻	kʰɤ1	~度
刻	kɤ5	时~
剃	tʰi5	
削	ɕiau1	白
削	ɕyɛ3	文
前	tɕʰian2	
劍	tɕian5	
剝	pɤ1	
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕian3	
副	fu5	
割	ka2	~手了
割	kɤ1	收~
劈	pʰi1	又
劈	pʰi3	又
力	li5	
勸	tɕʰyan5	
辦	pan5	
動	tuŋ5	
勁	tɕin5	
勤	tɕʰin2	
勺	ʂau2	
勻	yn2	
包	pau1	
化	xua5	
北	pei3	
匠	tɕiaŋ5	
匹	pʰi1	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pan5	
華	xua2	
協	ɕiɛ2	
卒	tsu2	
單	tan1	
賣	mai5	
南	nan2	
占	tʂan5	
衛	uei3	又
衛	uei5	又
印	in5	
危	uei1	~机
危	uei2	~险
卷	tɕyan3	
廠	tʂʰaŋ3	
廳	tʰiŋ1	
历	li5	
厭	ian5	
厚	xou5	
原	yan2	
去	tɕʰy5	
縣	ɕian5	
参	ʂən1	
及	tɕi2	
雙	suaŋ1	
反	fan3	
发	fa5	
叔	ʂu2	白
叔	ʂu1	文
取	tɕʰiou3	白
取	tɕʰy3	文
變	pian5	
口	kʰou3	
古	ku3	
句	tɕy5	
叫	tɕiau5	
可	kʰɤ3	
台	tʰai2	
右	iou5	
葉	iɛ5	
號	xau5	
吃	tʂʰʅ1	
各	kɤ5	
吉	tɕi2	
名	miŋ2	
后	xou5	
向	ɕiaŋ5	
呂	ly3	
吞	tʰuən1	
含	xən2	白
含	xan2	文
聽	tʰiŋ1	
吳	u2	
吸	ɕi1	
吹	tsʰuei1	
味	uei5	
命	miŋ5	
咸	ɕian2	
品	pʰin3	
響	ɕiaŋ3	
啞	ia3	
哭	kʰu1	
脣	tʂʰuən2	
唱	tʂʰaŋ5	
善	ʂan5	
喊	xan3	
喜	ɕi3	
嘴	tsuei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yan2	
困	kʰuən5	
圍	uei2	
國	kuɤ3	白
國	kuɤ2	文
圖	tʰu2	
圓	yan2	
圈	tɕʰyan1	
土	tʰu3	
地	ti5	
均	tɕyn1	
壞	xuai5	
坐	tʂuɤ5	
坑	kʰəŋ1	
塊	kʰuai5	
墳	fən2	
垂	tsʰuei2	
墊	tian5	
埋	man2	~怨
埋	mai2	~葬
城	tʂʰəŋ2	
塔	tʰa3	
塞	sei1	~上
塞	sai1	瓶~子
墨	mi5	白
墨	mɤ5	文
墩	tuən1	
壁	pi5	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰɤ2	
壺	xu2	
夏	ɕia5	
外	uai5	
多	tuɤ1	
夜	iɛ5	
够	kou5	
大	ta5	
天	tʰian1	
失	ʂʅ1	
頭	tʰou2	
夾	tɕia2	
奪	tuɤ2	
契	tɕʰi5	
女	ȵy3	
奴	nu2	
奸	tɕian1	
好	xau3	
如	ʐu2	
婦	fu5	
妹	mei5	
姐	tɕiɛ3	
姓	ɕiŋ5	
姜	tɕiaŋ1	
姨	i2	
娘	ȵiaŋ2	
婆	pʰɤ2	
婚	xuən1	
嫁	tɕia5	
嫂	sau3	
嫌	ɕian2	
嫩	lən5	白
嫩	nən5	文
子	tsɿ3	
孔	kʰuŋ3	
字	tsɿ5	
孫	suən1	
孝	ɕiau5	
季	tɕi5	
學	ɕiau2	白
學	ɕyɛ2	文
孽	ȵiɛ5	
安	an1	
宋	suŋ5	
完	uan2	
官	kuan1	
定	tiŋ5	
寶	pau3	
實	ʂʅ2	
客	tɕʰiɛ3	白
客	kʰɤ5	文
宮	kuŋ1	
害	ɕai5	
容	yŋ2	白
容	ʐuŋ2	文
寬	kʰuan1	
宿	ɕy3	白
宿	su5	文
寄	tɕi5	
密	mi5	
富	fu5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	ɕin2	白
尋	ɕyn2	文
壽	sou5	
封	fəŋ1	
射	ʂɤ5	
小	ɕiau3	
尖	tɕian1	
嘗	tsʰaŋ2	
尺	tʂʰʅ3	
尾	i3	~巴
尾	uei3	一~鱼
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	u1	
屬	ʂu3	
山	ʂan1	
歲	suei5	
巖	ian2	
岸	an5	
州	tsou1	
左	tsuɤ3	
幣	pi5	
市	ʂʅ5	
布	pu5	
師	ʂʅ1	
希	ɕi1	
