#漢字	音標	解釋
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	uã5	
丈	tsã5	
三	sã1	
上	sã5	
下	xa3-	
下	xa5-	
下	ɕia5=	
不	pəʔ7	
与	y5	
丐	kɛ5	
丑	tsʰəɯ3	
專	tsõ1	
且	tɕʰi3	
丕	pʰi3	
世	sɿ5	
丘	tɕʰiəɯ1	
丙	pin3	
業	iəʔ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丢	tiəɯ1	
兩	liã3	
嚴	iɪ̃2	
喪	sã1	
喪	sã5	
个	ko5	
丫	a1-	
丫	ia1=	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tsʰõ5	
臨	lin2	
丸	õ2	
丹	tã1	
爲	uei2	
爲	uei5	
主	tsu3	
麗	li5	
舉	tɕy3	
乃	lɛ3	
久	tɕiəɯ3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	faʔ7	
樂	ləʔ7	
樂	yəʔ7	
乒	pʰin1	
乓	pʰã1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	iəʔ7	
九	tɕiəɯ3	
乞	tɕʰiəʔ7	
也	iɛ3	
習	ɕiəʔ7	
鄉	ɕiã1	
書	su1	
買	mɛ3	
亂	lõ5	
乳	zu3	
乾	tɕʰiɪ̃2	
了	liɔ3	
爭	tsən1	
事	sɿ5	
二	ɛ5	
于	y2	
虧	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕin3	
亘	kən5	
亞	ia5	
些	ɕi1	
亡	uã2	
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
亦	iəʔ7	
產	tsʰã3	
亨	xən1	
畝	mo3	
享	ɕiã3	
京	tɕin1	
亭	tʰin2	
亮	liã5	
親	tɕʰin1	
親	tɕʰin5	
褻	ɕiəʔ7	
人	ən2	
億	i5	
什	səʔ7	
仁	ən2	
仃	tin1	
仄	tsəʔ7	
僅	tɕin3	
仇	tsʰəɯ2	
今	tɕin1	
介	tɕiɛ5	
仍	ən2	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰã1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tsã5	
付	fu5	
仙	ɕiɪ̃1	
仙	ɕyɪ̃1	
仟	tɕʰiɪ̃1	
代	tɛ5	
令	lin5	
以	i3	
儀	i2	
們	mən2	
仰	liã3	
仰	iã3	
仲	tsoŋ5	
件	tɕiɪ̃5	
價	tɕia5	
任	ən2	
任	ən5	
份	fən5	
仿	fã3	
企	tɕʰi3	
伊	i1	
伍	u3	
伎	tɕi5	
伏	fəʔ7	
伐	faʔ7	
休	ɕiəɯ1	
衆	tsoŋ5	
優	iəɯ1	
伙	xo2	
會	kʰuɛ5	
會	xuei5	
傘	sã3	
偉	uei3	
傳	tsʰõ2	
傳	tsõ5	
伢	a2	
傷	sã1	
倫	lən2	
僞	uei3	
佇	tsu5	
伯	pəʔ7	
估	ku3	
伴	põ5	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɪ̃5	
但	tã5	
位	uei5	
低	ti1	
住	tsu5	
佐	tso3	
佑	iəɯ5	
體	tʰi3	
何	xo2	
佘	səɯ2	
余	y2	
佛	fəʔ7	
作	tsuəʔ7	
你	lɪ3	
佣	ioŋ5	
佩	pʰei5	
佬	lɔ3	
佯	iã2	
佳	tɕia1	
使	sɿ3	
侄	tsəʔ7	
侉	kʰua3	
例	li5	
侍	sɿ5	
供	koŋ5	
依	i1	
俠	ɕiaʔ7	
侶	ly3	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰəʔ7	
僑	tɕʰiɔ2	
儈	kʰuɛ5	
侮	u1	
侯	xəɯ2	
侵	tɕʰin1	
便	pʰiɪ̃2	
便	piɪ̃5	
促	tsʰuəʔ7	
俄	o2	
俊	tɕyn5	
俏	tɕʰiɔ5	
俐	li5	
俗	səʔ7	
俗	suəʔ7	
俘	fu2	
保	pɔ3	
俞	y2	
信	ɕin5	
倆	liã3	
儉	tɕiɪ̃3	
修	ɕiəɯ1	
俯	fu3	
俱	tɕy5	
俸	foŋ5	
倌	kõ1	
倍	pei5	
倒	tɔ3	
倒	tɔ5	
倔	tɕyəʔ7	
倘	tʰã3	
候	xəɯ3	
候	xəɯ5	
借	tɕi5	
倡	tsʰã5	
倦	tɕyɪ̃5	
倪	li2	
債	tsɛ5	
值	tsəʔ7	
傾	tɕʰyn3	
假	tɕia3	
偎	uei1	
偏	pʰiɪ̃1	
做	tso5	
停	tʰin2	
健	tɕiɪ̃5	
偶	əɯ3	
偷	tʰəɯ1	
償	tsʰã3	
傀	kʰuei3	
傅	fu5	
傍	pʰã2	
傍	pã5	
催	tsʰei1	
傲	ɔ5	
傻	sa3	
像	tɕia1	
像	ɕiã5	
僚	liɔ2	
僧	sən1	
僵	tɕiã1	
僻	pʰiəʔ7	
儒	zu2	
儒	y2	
儡	lei3	
兒	ɛ2	
允	yn2	
元	yɪ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsɔ5	
先	ɕiɪ̃1	
光	kuã1	
克	kʰəʔ7	
免	miɪ̃3	
兑	tei3	
兑	tei5	
兔	tʰu5	
黨	tã3	
兜	təɯ1	
兢	tɕin1	
入	zuəʔ7	
全	tɕʰyɪ̃2	
八	paʔ7	
公	koŋ1	
六	ləʔ7	
兮	ɕi1	
蘭	lã2	
共	koŋ5	
關	kuã1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɪ̃3	
兹	tsɿ1	
養	iã3	
兼	tɕiɪ̃1	
獸	səɯ5	
冀	tɕi5	
内	lei5	
岡	kã1	
册	tsʰəʔ7	
再	tsɛ5	
冒	mɔ5	
冕	miɪ̃3	
冗	ioŋ2	
寫	ɕi3	
軍	tɕyn1	
農	loŋ2	
冠	kõ1-	
冠	kõ5-	
冠	kuã1=	
冠	kuã5=	
冢	tsoŋ3	
冤	yɪ̃1	
冥	min3	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
決	tɕyəʔ7	
况	kʰuã5	
冶	iɛ3	
冷	lən3	
凍	toŋ5	
冽	liəʔ7	
淨	tɕin5	
凄	tɕʰi1	
準	tsuən3	
涼	liã2	
凋	tiɔ1	
凌	lin2	
減	tɕiɪ̃3	
湊	tsʰəɯ5	
凝	lin2	
几	tɕi3	
凡	fã2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰɛ3	
凰	xuã3	
凳	tən5	
凶	ɕioŋ1	
出	tsʰuəʔ7	
擊	tɕiəʔ7	
函	xã2	
鑿	tsuəʔ7	
刀	tɔ1	
刁	tiɔ1	
刃	ən5	
分	fən1	
分	fən5	
切	tɕʰiəʔ7	
刊	kʰã1	
刑	ɕin2	
划	xua2	
划	xua5	
列	liəʔ7	
劉	liəɯ2	
則	tsəʔ7	
剛	kã1	
創	tsʰuã5	
初	tsʰu1	
删	sã1	
判	pʰõ5-	
判	pʰã5=	
刨	pɔ5	
利	li5	
别	piəʔ7	
刮	kuaʔ7	
到	tɔ5	
制	tsɿ5	
刷	suaʔ7	
券	tɕyɪ̃5	
刹	saʔ7	
刺	tsʰɿ5	
刻	kʰəʔ7	
刴	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕiaʔ7	
前	tɕʰiɪ̃2	
剮	kua3	
劍	tɕiɪ̃5	
剔	tʰiəʔ7	
剖	pʰo5	
剝	pəʔ7	
劇	tɕy5	
剩	sən5	
剪	tɕiɪ̃3	
副	fu5	
割	kəʔ7	
剿	tɕiɔ3	
劈	pʰiəʔ7	
力	liəʔ7	
勸	tɕʰyɪ̃5	
辦	pã5	
功	koŋ1	
加	tɕia1	
務	u5	
劣	liəʔ7	
動	toŋ5	
助	tsu5	
努	lu3	
劫	tɕiəʔ7	
勵	li5	
勁	tɕin5	
勞	lɔ2	
勢	sɿ5	
勃	pʰəʔ7	
勇	ioŋ3	
勉	miɪ̃3	
勳	ɕyn1	
勒	ləʔ7	
勘	kʰã1	
募	mo5	
勤	tɕʰin2	
勺	sɔ2	
勾	kəɯ1	
勿	uəʔ7	
匀	yn2	
包	pɔ1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
化	xua5	
北	pəʔ7	
匙	tsʰɿ2	
匠	tɕiã5	
匹	pʰiəʔ7	
區	tɕʰy1	
醫	i1	
匾	piɪ̃3	
匿	liəʔ7	
十	səʔ7	
千	tɕʰiɪ̃1	
卅	saʔ7	
升	sən1	
午	u3	
卉	xuei5	
半	põ5	
華	xua2	
協	ɕiəʔ7	
卑	pei1	
卒	tsəʔ7	
卒	tsuəʔ7	
卓	tsuəʔ7	
單	tã1	
賣	mɛ5	
南	lã2	
博	pəʔ7	
占	tsã5	
卡	kʰa3	
盧	lu2	
卤	lu3	
卦	kua5	
臥	o5	
衛	uei5	
卯	mɔ3	
印	in5	
危	uei2	
即	tɕiəʔ7	
卻	tɕʰyəʔ7	
卵	lõ3	
卷	tɕyɪ̃3	
卷	tɕyɪ̃5	
卸	ɕi5	
卿	tɕʰin1	
廠	tsʰã3	
厄	əʔ7	
廳	tʰin1	
历	liəʔ7	
厲	li5	
壓	aʔ7	
壓	iaʔ7	
厭	iɪ̃5	
廁	tsʰəʔ7	
厘	li2	
厚	xəɯ5	
原	yɪ̃2	
廂	ɕiã1	
厦	sa3	
厦	ɕia5	
廚	tsʰu2	
廄	tɕiəɯ5	
厮	sɿ1	
去	tɕʰy5	
縣	ɕiɪ̃5	
参	tsʰã1	
参	tsʰən1	
参	sən1	
又	iəɯ5	
叉	tsʰa1	
及	tɕiəʔ7	
友	iəɯ3	
雙	suã1	
反	fã3	
发	faʔ7	
叔	suəʔ7	
取	tɕʰy3	
受	səɯ5	
變	piɪ̃5	
敍	ɕy5	
叛	pʰõ5-	
叛	pʰã5=	
叟	səɯ3	
疊	tiəʔ7	
口	kʰəɯ3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tɔ1	
叨	tiɔ1	
只	tsɿ1	
只	tsɿ3	
只	tsəʔ7	
叫	tɕiɔ5	
召	tsɔ1	
叮	tin1	
可	kʰo3	
台	tʰɛ2	
叱	tsʰəʔ7	
史	sɿ3	
右	iəɯ5	
葉	iəʔ7	
號	xɔ5	
司	sɿ1	
嘆	tʰã5	
吁	y5	
吃	tɕʰiəʔ7	
各	kəʔ7	
吆	iɔ1	
合	xəʔ7	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰoŋ2	
名	min2	
后	xəɯ5	
吏	li5	
吐	tʰu3	
吐	tʰu5	
向	ɕiã5	
吒	tsa3	
嚇	xəʔ7	
呂	ly3	
君	tɕyn1	
吝	lin5	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fəɯ3	
吨	tən1	
吩	fən1	
含	xã2	
聽	tʰin1	
吭	kʰən1	
吮	suəʔ7	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tsʰuei1	
吻	uən2	
吼	xəɯ3	
吾	u2	
呀	ia1	
呆	tɛ1	
呆	ɛ2	
呈	tsʰən2	
告	kɔ5	
呐	laʔ7	
嘔	əɯ1	
員	yɪ̃2	
嗆	tɕʰiã1	
嗆	tɕʰiã5	
嗚	u1	
呢	li2	
周	tsəɯ1	
味	uei5	
呵	xo1	
呻	sən1	
呼	xu1	
命	min5	
咂	tsaʔ7	
咆	pʰɔ2	
和	xo2	
和	xo5	
咍	xɛ1	
咎	tɕiəɯ5	
詠	ioŋ3	
咐	fu5	
咒	tsəɯ5	
咕	ku1	
咖	kʰa1	
嚨	loŋ2	
嚀	lin2	
咧	lia3	
咨	tsɿ1	
咬	ɔ3	
咳	kʰəʔ7	
咸	xã2	
咸	ɕiɪ̃2	
咽	iɪ̃1	
咽	iɪ̃5	
咽	iəʔ7	
哀	ɛ1	
品	pʰin3	
哄	xoŋ1	
哄	xoŋ3	
哄	xoŋ5	
哇	ua1	
哈	xa1	
哉	tsɛ1	
