#漢字	音標	解釋
一	ʑi1	
丈	tʂʰaŋ5	
三	sæn1	
下	xa5	底~
丑	tʂʰəu3	
專	tʃʯæn1	
世	ʂʅ5	
業	ȵiə1	
嚴	ȵiæn2	~实
个	kʰue2	
爲	ve5	
乃	le3	
乖	kue1	
九	tɕiəu3	
乞	tɕʰi3	
也	iə3	也是
習	ɕi2	
買	me5	
亂	luæn5	
爭	tsəŋ1	
事	sɿ5	
二	zɿ5/aŋ5	
云	ʑyŋ2	
五	vu3	
井	tsiŋ3	
交	tɕiɔ1	
享	ɕiaŋ3	
親	tɕʰiŋ1	
什	ʂʅ2	
僅	tɕiŋ3	
仇	ʂəu2	
仍	zəŋ1	
倉	tsʰaŋ1	
件	tɕiæn5	
休	xəu1	副词
傘	sæn3	
伴	pʰæn5	
低	ti1	
體	tɕʰi3	
佛	fə2	
作	tsə1	
你	ȵi3	
使	sɿ3	
侄	tʂʰʅ2	
供	kuŋ5	
側	tsʰe1	
俗	ɕy2	
保	pɔ3	
候	xəu5	
借	tsiə5	
做	tsu5	
健	tɕʰiæn5	
偶	kəu3	
催	tsʰue1	
傲	kɔ5	
僧	səŋ1	
兒	zɿ2	
允	yŋ3	
元	ʑyæn2	
兄	ɕyŋ1	
先	ɕiæn1	
光	kuaŋ1	
克	kʰei1	
免	miæn3	
兜	tu1	~~
入	ʒʯ1	
八	pa1	
公	kuŋ1	
六	liəu1	
關	kuæn1	
興	ɕiŋ5	
兵	piŋ1	
典	tiæn3	
内	lue5	
册	tsʰe1	
寫	siə3	
軍	tɕyŋ1	
農	luŋ2	
冤	ʑyæn1	
冬	tuŋ1	
冰	piŋ1	
冷	ləŋ3	
淨	tɕʰiŋ5	
準	tʃʯŋ3	
湊	tsʰəu5	
几	tɕi3	
凭	pʰiŋ2	
凶	ɕyŋ1	
出	tʃʰʯ1	
擊	tɕi1	
刃	ʐəŋ5	
切	tɕʰiə1	
划	xua2	
列	miə1	
判	pʰæn5	
刮	kua1	
到	tɔ5	
制	tʂʅ5	
刷	ʃʯa1	
刺	tsʰɿ5	
削	ɕiɔ1	
前	tɕʰiæn2	
剖	pʰɔ1	
剝	pə1	
剪	tɕiæn3	
副	fu5	
割	kə1	
劐	xuə1	
力	ȵi1	
勸	tɕʰyæn5	
動	tʰuŋ5	
助	tʃʰʯ5	
劫	tɕiə2	
勁	tɕiŋ5	
勤	tɕʰiŋ2	
勺	ʂə2	
北	pe1	
匙	sɿ2	
匠	tɕʰiaŋ5	
匪	fe3	
匹	pʰi3	
匾	piæn3	
十	ʂʅ2	
千	tɕʰiæn1	
卒	tsu2	兵~
單	tæn1	~数
賣	me5	
博	pə2	
印	iŋ5	
即	tɕi1	
卷	tɕyæn3	
历	ȵi2	
廁	tsʰe2	
去	tɕʰi5	
友	iəu3	
雙	ʃʯaŋ1	
反	fæn3	
发	faŋ1	头~
叔	ʃʯ1	
取	tɕʰy3	
變	piæn5	
疊	tʰiə2	
口	kʰəu3	
古	ku3	
另	liŋ5	
只	tʂʅ1	
叫	tɕiɔ5	
吃	tʂʰʅ1	
各	kə1	
吆	iɔ1	
合	xə2	
后	xəu5	
呂	ly3	
吞	tʰəŋ1	
含	xæn2	
聽	tʰiŋ1	
吵	tsʰɔ3	
吸	ɕi1	
吹	tʃʰʯe1	
吼	xəu3	
嘔	kəu3	
周	tʂəu1	
味	ʑy5	
命	miŋ5	
咬	ȵiɔ3	
咸	xæn2	
品	pʰiŋ3	
啞	ȵia3	
哭	kʰu1	
哲	tʂə2	
唯	ve2	
唾	tʰuə5	
喊	xə3	
喘	tʃʰʯæn3	
喜	ɕi3	
喝	xə1	
噴	pʰəŋ1	
嗽	sɔ5	
嘴	tsue3	
噎	iə1	
囂	ɕiɔ1	
囊	laŋ2	
四	sɿ5	
圍	ve2	
國	kue1	
圓	ʑyæn2	
圈	tɕʰyæn5	猪~
土	tʰu3	
在	tsʰe5	
地	tɕʰi5	
均	tɕyŋ1	
壞	xue5	
坐	tsʰuə5	
坦	tʰæn3	
垒	lue3	
埂	kəŋ3	
埋	me2	
域	ʑy5	
培	pʰe2	
基	tɕi1	
